Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
"InterContinental Berlin, an IHG Hotel",yes,"Budapester Str. 2, Mitte, 10787 Berlin, Germany","2,093 reviews",8.7,5 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free, Asian, American",single bed,double bed,Classic King Room,"₹ 9,776"
"Regent Berlin, an IHG Hotel",yes,"Charlottenstrasse 49, Mitte, 10117 Berlin, Germany",684 reviews,9.0,5 out of 5,Superb,yes,yes,no,Bar,yes,yes,"Vegetarian, Vegan, Gluten-free, American",single bed,double bed,Classic Room,"₹ 32,186"
Hotel AMO by AMANO Friedrichstraße,yes,"Friedrichstraße 113, Mitte, 10117 Berlin, Germany","3,724 reviews",8.2,3 out of 5,Very good,no,yes,no,Bar,yes,yes,"Vegetarian, Vegan, Gluten-free",single bed,double bed,Standard Double Room,"₹ 9,523"
a&o Berlin Hauptbahnhof,yes,"Lehrter Str. 12-15, Mitte, 10557 Berlin, Germany","6,696 reviews",7.2,3 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Twin Room,"₹ 6,707"
"Hotel Berlin, Berlin, a member of Radisson Individuals",yes,"Lützowplatz 17, Mitte, 10785 Berlin, Germany","10,340 reviews",7.9,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free, American",single bed,double bed,Cosy Small Room,"₹ 11,610"
"Holiday Inn Express - Berlin - Alexanderplatz, an IHG Hotel",yes,"Stralauer Strasse 45, Mitte, 10179 Berlin, Germany","8,466 reviews",8.2,5 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Double Room,"₹ 9,068"
DoubleTree by Hilton Berlin Ku'damm,yes,"Los-Angeles-Platz 1, Charlottenburg-Wilmersdorf, 10789 Berlin, Germany",299 reviews,8.8,4 out of 5,Fabulous,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Gluten-free",single bed,double bed,King Guest Room,"₹ 14,849"
Generator Berlin Mitte,yes,"Oranienburger Strasse 65, Mitte, 10117 Berlin, Germany","3,941 reviews",7.4,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian",single bed,double bed,Deluxe Twin Room,"₹ 7,875"
Precise Tale Berlin Potsdamer Platz,yes,"Stresemannstrasse 95, Friedrichshain-Kreuzberg, 10963 Berlin, Germany","2,870 reviews",8.7,3 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Standard Room,"₹ 10,266"
Generator Berlin Alexanderplatz,yes,"Otto Braun Str. 65, Mitte, 10178 Berlin, Germany","3,895 reviews",7.2,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Italian, Vegetarian",single bed,NA,Standard Twin Room,"₹ 7,159"
