Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Campanile Hotel - Birmingham,yes,"Aston Locks, Chester Street, Birmingham, B6 4BE, United Kingdom","4,143 reviews",7.7,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Full English/Irish, Vegetarian, Gluten-free",single bed,double bed,Twin Room,"₹ 5,900"
Oriental Suite 2 BED 2 BATH Netflix and FREE Parking,yes,"10 Hall Street, Birmingham, B18 6BX, United Kingdom",NA,NA,3 out of 5,NA,yes,no,no,NA,yes,yes,NA,single bed,double bed,Two-Bedroom Apartment,"₹ 10,578"
"Holiday Inn Express - Birmingham - City Centre, an IHG Hotel",yes,"19 Holliday Street, Birmingham, B1 1HH, United Kingdom","7,751 reviews",8.4,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Buffet, Breakfast to go",single bed,double bed,Standard Double Room,"₹ 6,865"
"Birmingham Strathallan Hotel, BW Signature Collection",yes,"225 Hagley Road, Edgbaston, Birmingham, B16 9RY, United Kingdom","2,828 reviews",6.9,2 out of 5,Pleasant,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish",single bed,double bed,Cozy Double Room- Non Smoking,"₹ 4,321"
ibis budget Birmingham Centre,yes,"Great Colmore Street, Birmingham, B15 2AP, United Kingdom","10,160 reviews",6.7,3 out of 5,Pleasant,no,yes,no,NA,yes,yes,"Continental, Buffet",single bed,double bed,Standard Triple Room,"₹ 3,962"
Hampton by Hilton Birmingham Broad Street,yes,"200 Broad Street, Birmingham, B15 1SU, United Kingdom","8,363 reviews",7.8,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free, American",single bed,double bed,Double Room,"₹ 6,527"
Hampton by Hilton Birmingham Jewellery Quarter,yes,"98-104 Constitution Hill, Birmingham, B19 3JT, United Kingdom","2,765 reviews",7.6,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Gluten-free",single bed,double bed,Double Room,"₹ 5,581"
Superb 1 Bedroom Serviced Apartment In City Centre,yes,"2 Hurst Street, Gay Village Birmingham, Birmingham, B5 4TD, United Kingdom",NA,NA,3 out of 5,NA,yes,yes,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 8,157"
"Holiday Inn Express Birmingham Star City, an IHG Hotel",yes,"Cuckoo Road, Heartlands Parkway, Birmingham, B7 5SB, United Kingdom","1,673 reviews",7.6,3 out of 5,Good,yes,yes,no,Bar,yes,no,"Continental, Full English/Irish",single bed,double bed,Double Room - Non-Smoking,"₹ 6,591"
Haya Guest House,yes,"Bloxcidge Street 13, Birmingham, B68 8QQ, United Kingdom",200 reviews,8.2,4 out of 5,Very good,no,yes,no,NA,yes,no,"Continental, Vegetarian, Halal",NA,double bed,Double Room,"₹ 6,408"
Bloc Hotel Birmingham,yes,"Caroline Street, Birmingham, B3 1UG, United Kingdom","4,536 reviews",8.2,3 out of 5,Very good,no,yes,no,NA,yes,yes,NA,NA,double bed,Standard Double Room - No Window,"₹ 6,001"
"Holiday Inn Express Birmingham - Snow Hill, an IHG Hotel",yes,"1 Snow Hill Plaza, St Chad's Queensway, Birmingham, B4 6HY, United Kingdom","4,904 reviews",7.6,4 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Standard Double Room - Disability Access,"₹ 6,051"
Peter Scott House Birmingham,yes,"Peter Scott House, Edgbaston Park Road, Edgbaston, Birmingham, B15 2RA, United Kingdom",264 reviews,7.4,4 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, Kosher, American",NA,double bed,Standard Double Room,"₹ 7,120"
Aparthotel Adagio Birmingham City Centre,yes,"131 Digbeth Birmingham, Birmingham, B5 6DR, United Kingdom","3,709 reviews",8.7,4 out of 5,Fabulous,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Studio with Double Bed,"₹ 8,137"
"Holiday Inn Birmingham City, an IHG Hotel",yes,"Smallbrook Queensway, Birmingham, B5 4EW, United Kingdom","6,189 reviews",7.8,4 out of 5,Good,no,yes,no,Bar,yes,yes,Full English/Irish,single bed,double bed,Standard Double Room,"₹ 7,781"
Wray And Whyte House,yes,"34 Salisbury Road Lozells, Birmingham, B19 1NA, United Kingdom",223 reviews,8.2,4 out of 5,Very good,no,yes,no,Bar,yes,no,NA,single bed,double bed,Double or Twin Room,"₹ 5,798"
Leonardo Royal Hotel Birmingham - formerly Jurys Inn,yes,"245 Broad Street, Birmingham, B1 2HQ, United Kingdom","6,317 reviews",8.6,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Gluten-free, Buffet",NA,double bed,Deluxe Double or Twin Room,"₹ 9,663"
The Fountain Inn,no,"93 Cheapside, Birmingham, B12 0QH, United Kingdom",11 reviews,7.8,3 out of 5,Good,yes,yes,no,Bar,no,no,NA,single bed,double bed,Family Room,"₹ 6,408"
Aloft Birmingham Eastside,yes,"4 Woodcock Street, Birmingham, B7 4BL, United Kingdom","3,204 reviews",8.8,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,Full English/Irish,single bed,double bed,"Aloft, Guest room, 1 King","₹ 8,239"
Best Western Plough and Harrow Hotel,yes,"135 Hagley Road, Edgbaston, Birmingham, B16 8LS, United Kingdom","2,052 reviews",7.5,4 out of 5,Good,yes,yes,no,Bar,yes,no,"Continental, Full English/Irish, Vegetarian",single bed,double bed,Family Room with sofa bed,"₹ 6,485"
"Staybridge Suites Birmingham, an IHG Hotel",yes,"Martineau Place, Birmingham, B2 4UW, United Kingdom","2,689 reviews",8.9,3 out of 5,Fabulous,no,yes,no,NA,yes,yes,"Continental, Full English/Irish, Vegetarian, Gluten-free, Buffet",NA,double bed,Queen Studio,"₹ 9,063"
"Radisson Blu Hotel, Birmingham",yes,"12 Holloway Circus, Birmingham, B1 1BT, United Kingdom","5,474 reviews",8.1,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Full English/Irish, Gluten-free",single bed,double bed,Standard Room,"₹ 9,867"
