Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Le Mount,yes,"Road Number 4 street no 7, 110037 New Delhi, India",7 reviews,10,4 out of 5,Exceptional,yes,yes,no,Bar,yes,yes,"Continental, Italian, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, Kosher, Asian, American, Buffet, Breakfast to go",NA,double bed,Double Room,"₹ 1,080"
Hotel Transit Near Delhi Airport,no,"Plot No 58/9, Road Number 4, Block C, Mahipalpur Extension, Mahipalpur, New Delhi, Delhi 110037, Mahipalpur, 110037 New Delhi, India",375 reviews,8.3,3 out of 5,Very good,yes,yes,no,NA,no,no,"Continental, American",NA,double bed,Deluxe Room,"₹ 2,499"
Grand Peepal Hotel - Karol Bagh New Delhi,yes,"Saraswati Marg 4/1, Gali Number 4, Near Apra Deluxe, Saraswati Marg, Karol Bagh, Karol bagh, 110005 New Delhi, India",NA,NA,3 out of 5,NA,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Halal, Asian, American, Buffet, Breakfast to go",NA,double bed,Deluxe King Room,"₹ 1,750"
Skon Boutique by Orion Hotels,yes,"52, Ring Road, Lajpat Nagar-III, 110024 New Delhi, India",100 reviews,7.7,3 out of 5,Good,no,yes,no,NA,no,yes,Continental,single bed,double bed,Deluxe Double or Twin Room,"₹ 3,574"
"THE SINGH EMPIRE, New Delhi",yes,"8707-10 D B Gupta Road, Pahar Ganj, Paharganj, 110055 New Delhi, India","1,717 reviews",7.9,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Asian",single bed,double bed,Deluxe Double or Twin Room,"₹ 1,998"
Hotel Tashree Delhi Airport,no,"Khasra No. 99-100, Kapashera Old Delhi-Gurugram, road, near HDFC Bank, Kapas Hera Extension, 110037 New Delhi, India",277 reviews,7.1,4 out of 5,Good,yes,yes,no,NA,yes,yes,"Continental, Italian, Vegetarian",single bed,double bed,Deluxe Double Room,"₹ 1,695"
Hotel Grand Suites Delhi Airport By D Capitol,yes,"H NO-815, G/F BACK PORTION, BL OCK-K-2 MATA CHOWK, MAHIPAL PUR,NEAR INDIRA GANDHI INTERNATIONAL AIRPORT, 110037 New Delhi, India",506 reviews,7.8,4 out of 5,Good,yes,yes,no,Bar,no,no,Continental,single bed,double bed,Deluxe King Room,"₹ 2,000"
Hotel Tripple Tree - Karol Bagh,yes,"7A/73 WEA Channa Market Karol Bagh Delhi, Karol bagh, 110005 New Delhi, India",476 reviews,8.1,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Halal, American",single bed,double bed,Deluxe Double Room,"₹ 4,181"
Atlas Inn,yes,"6 रोड नंबर 4 A-85 Road No 4 Gali No 6 Mahipalpur, Mahipalpur, 110037 New Delhi, India",2 reviews,9.5,3 out of 5,Exceptional,yes,yes,no,NA,no,no,NA,NA,double bed,Double Room,₹ 899
The Ramida Suites At Delhi Airport,yes,"Plot, 184/2, Road, Number, 3 Block, A Mahipalpur, Mahipalpur, 110037 New Delhi, India",61 reviews,7.7,4 out of 5,Good,yes,yes,no,NA,yes,no,"Continental, Vegetarian",NA,double bed,Deluxe Double Room (2 Adults + 1 Child),"₹ 1,147"
