Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Restay adderss dubai mall,no,"Sheikh Mohammed bin Rashid Boulevard, Downtown Dubai, Dubai, United Arab Emirates",13 reviews,8.3,5 out of 5,Very good,yes,yes,no,Bar,yes,yes,NA,NA,double bed,Superior Studio,"₹ 25,740"
Canopy by Hilton Dubai Al Seef,yes,"Al Seef Street, Umm Hurair 1, Dubai Creek, P.O. Box 35449, Bur Dubai, Dubai, United Arab Emirates","1,329 reviews",8.0,4 out of 5,Very good,yes,yes,yes,Bar,no,yes,"Continental, American",single bed,double bed,King Room - Mobility Accessible,"₹ 8,957"
Kasco Homes - Waves Tower Business Bay,yes,"Marasi Drive, Dubai, United Arab Emirates",424 reviews,8.6,4 out of 5,Fabulous,yes,yes,no,NA,no,yes,NA,NA,double bed,Studio Apartment,"₹ 21,337"
HE Hotel Apartments,yes,"Assel Blvd, Dubai, United Arab Emirates","1,993 reviews",7.8,5 out of 5,Good,yes,yes,yes,NA,yes,yes,"Continental, Full English/Irish, Halal",single bed,double bed,Deluxe King Studio Apartment,"₹ 7,567"
Resivation Hotel,yes,"Resivation Al Furjan Dubai, Dubai, United Arab Emirates","1,835 reviews",8.1,2 out of 5,Very good,no,yes,no,NA,yes,yes,"Continental, Full English/Irish, Vegetarian",single bed,double bed,Superior King Room,"₹ 3,613"
Cote d'Azur Hotel - Monaco - Dubai World Islands - Adults Only,yes,"The World Islands, The Heart of Europe, Dubai, United Arab Emirates",944 reviews,7.7,5 out of 5,Good,no,yes,no,Bar,no,yes,"Continental, Buffet",NA,double bed,De Luxe Room,"₹ 13,209"
Unique 1Bedroom with Balcony in Business Bay,yes,"Safeer Tower 2, Business Bay, Dubai 316, Dubai, United Arab Emirates",NA,NA,4 out of 5,NA,no,no,no,NA,yes,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 7,722"
"Zabeel House by Jumeirah, The Greens",yes,"Sheikh Zayed Road, The Greens, Dubai, United Arab Emirates","1,532 reviews",8.9,4 out of 5,Fabulous,yes,yes,yes,Bar,no,yes,Continental,NA,double bed,Popular Room (Late Check-Out at 2pm),"₹ 7,903"
"Holiday Inn Express Dubai Airport, an IHG Hotel",no,"Airport Road, Garhoud, 35257 Dubai, United Arab Emirates","15,906 reviews",7.8,3 out of 5,Good,no,yes,no,Bar,no,yes,"Continental, Italian, Vegetarian, Halal, Gluten-free, Asian, American",single bed,double bed,"Double Room - Smoking (Free Shuttle Bus to Airport Terminal 1&3, Al Mamzar Beach, DFC Mall, Dubai Mall))","₹ 6,314"
ibis Styles Dubai Airport Hotel,yes,"Casablanca St Off Airport Road Al Garhoud Next to Ggico Metro Station, Garhoud, 13868 Dubai, United Arab Emirates","10,627 reviews",7.7,3 out of 5,Good,yes,yes,yes,NA,no,yes,"Continental, Vegetarian, Vegan, Halal",single bed,double bed,"Twin Room - Free DXB Airport Shuttle Drop Off, La Mer Beach Shuttle Twice Daily","₹ 7,186"
Grand Bellevue Hotel Apartment Dubai,yes,"Tecom, Barsha Heights (Tecom) , Dubai, United Arab Emirates",963 reviews,7.3,4 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, American",single bed,double bed,Studio Apartment,"₹ 6,774"
دبي,no,"دبي 742, Dubai Silicon Oasis, Dubai, United Arab Emirates",NA,NA,3 out of 5,NA,yes,yes,no,NA,yes,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 8,128"
Home Hotel Dubaï,yes,"Dubai Fountain Street, Dubai, United Arab Emirates",NA,NA,4 out of 5,NA,no,no,no,Bar,yes,no,NA,single bed,double bed,Deluxe Room,"₹ 10,160"
"DAMAC Hills 2 Hotel, an Edge by Rotana Hotel",yes,"Damac Hills 2 Dubai, Dubai, United Arab Emirates",469 reviews,8.3,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Halal, Asian, American",single bed,double bed,Guest Room – King Bed,"₹ 4,493"
Queen Elizabeth 2 Hotel,yes,"Port Rashid, Al Mina, Bur Dubai, Dubai, United Arab Emirates","4,299 reviews",7.8,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Halal",single bed,double bed,Classic King Room,"₹ 6,096"
IntercityHotel Dubai Jaddaf Waterfront,yes,"Al Jaddaf Waterfront, Bur Dubai, Dubai, United Arab Emirates","3,421 reviews",8.0,4 out of 5,Very good,yes,yes,yes,NA,no,yes,"Continental, Gluten-free",single bed,double bed,Superior,"₹ 6,081"
MK Residence by Be Our Guest,yes,"MK Residence, Jumeirah Village Circle, Dubai, United Arab Emirates",216 reviews,7.0,4 out of 5,Good,yes,yes,no,NA,no,yes,NA,NA,double bed,Deluxe King Studio,"₹ 5,396"
"Holiday Inn Dubai Al-Maktoum Airport, an IHG Hotel",yes,"Aviation City, Dubai World Central, null Dubai, United Arab Emirates","2,788 reviews",7.8,4 out of 5,Good,yes,yes,no,Bar,no,yes,NA,single bed,double bed,"Deluxe King or Twin Room - Free Shuttle to Jumeirah Beach, Ibn Battuta Mall and Al Maktoum Airport - Shuttle requires advance booking","₹ 4,471"
Millennium Airport Hotel Dubai,yes,"Airport Road, Casablanca Street, Al Garhoud, Garhoud, Dubai, United Arab Emirates","10,117 reviews",8.2,3 out of 5,Very good,yes,yes,yes,Bar,yes,yes,"Continental, Vegetarian, Halal, Gluten-free, American",single bed,double bed,Deluxe King Room,"₹ 7,428"
Holiday International Hotel Embassy District,yes,"Al Hamriya Khaleed Bin Waleed Road2 , Bur Dubai, Dubai, United Arab Emirates",742 reviews,8.2,4 out of 5,Very good,no,yes,yes,Bar,no,yes,"Continental, Full English/Irish, Vegan, Halal, Gluten-free, Asian, American",single bed,double bed,Standard Double Room,"₹ 5,852"
Hampton By Hilton Dubai Airport,yes,"Damascus Street, Al Qusais, Al Qusais, Dubai, United Arab Emirates","4,635 reviews",7.4,4 out of 5,Good,yes,yes,yes,Bar,yes,yes,"Continental, Halal, American",single bed,double bed,"Queen Room Non-Smoking with Free Breakfast and Complimentary Shuttle services to DXB Airport T1/T3, Mamzar Beach, Deira City Centre and DAFZA","₹ 5,579"
Millennium Place Barsha Heights Hotel,yes,"First Al Khail Street Tecom, Barsha Heights,, Barsha Heights (Tecom) , Dubai, United Arab Emirates","8,325 reviews",8.3,3 out of 5,Very good,yes,yes,yes,Bar,no,yes,"Continental, Vegetarian, Halal, Gluten-free, Asian, American, Buffet",single bed,double bed,Superior King Room,"₹ 7,568"
"Mercure Gold Hotel, Jumeirah, Dubai",yes,"Al Mina Road, Dubai, United Arab Emirates","3,592 reviews",7.6,4 out of 5,Good,yes,yes,no,Bar,no,yes,"Continental, Vegetarian, Asian",single bed,double bed,"Superior Double Room (Complimentary shuttle service to La Mer Beach, Dubai Mall / Burj Khalifa & other malls)","₹ 5,468"
CITY PALACE HOTEL,yes,"Khalid Bin Al Waleed Road, Bur Dubai, Dubai, United Arab Emirates",286 reviews,6.5,3 out of 5,Pleasant,yes,yes,no,Bar,no,yes,"Continental, Vegetarian, Halal, American",single bed,double bed,Standard Double Room,"₹ 3,153"
"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",yes,"Al Seef Street, Umm Hurair 1, Dubai Creek, P.O. Box 35449, Bur Dubai, Dubai, United Arab Emirates","2,632 reviews",8.2,3 out of 5,Very good,yes,yes,yes,NA,no,yes,"Full English/Irish, Vegetarian, Vegan, Gluten-free",single bed,double bed,Twin Heritage Room,"₹ 9,633"
Ibis Styles Dragon Mart Dubai,yes,"Al Awir Road, E44 on Hatta Road, 68278 Dubai, United Arab Emirates","3,544 reviews",7.3,3 out of 5,Good,yes,no,no,Bar,yes,yes,"Continental, Vegetarian, Halal, Asian, American",single bed,double bed,Standard Twin Room,"₹ 5,770"
Signature Inn Hotel - Free Parking,yes,"31 17B Street, Dubai, United Arab Emirates",48 reviews,5.0,4 out of 5,Passable,yes,yes,no,Bar,no,yes,NA,single bed,double bed,Double or Twin Room - Parking included,"₹ 4,059"
CITY PALACE HOTEL,yes,"Khalid Bin Al Waleed Road, Bur Dubai, Dubai, United Arab Emirates",286 reviews,6.5,3 out of 5,Pleasant,yes,yes,no,Bar,no,yes,"Continental, Vegetarian, Halal, American",single bed,double bed,Standard Double Room,"₹ 3,153"
"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",yes,"Al Seef Street, Umm Hurair 1, Dubai Creek, P.O. Box 35449, Bur Dubai, Dubai, United Arab Emirates","2,632 reviews",8.2,4 out of 5,Very good,yes,yes,yes,NA,no,yes,"Full English/Irish, Vegetarian, Vegan, Gluten-free",single bed,double bed,Twin Heritage Room,"₹ 9,633"
Ibis Styles Dragon Mart Dubai,yes,"Al Awir Road, E44 on Hatta Road, 68278 Dubai, United Arab Emirates","3,544 reviews",7.3,3 out of 5,Good,yes,no,no,Bar,yes,yes,"Continental, Vegetarian, Halal, Asian, American",single bed,double bed,Standard Twin Room,"₹ 5,770"
Unique 1Bedroom with Balcony in Business Bay,yes,"Safeer Tower 2, Business Bay, Dubai 316, Dubai, United Arab Emirates",NA,NA,3 out of 5,NA,no,no,no,NA,yes,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 7,722"
Studio M Al Barsha Hotel by Millennium,yes,"Street 5 Al Barsha, Al Barsha, Dubai, United Arab Emirates","3,293 reviews",8.3,4 out of 5,Very good,no,yes,no,Bar,no,yes,Continental,single bed,double bed,Urban King Room with 20% Discount on SPA,"₹ 5,852"
a room for ladies only in marina pinnacle tiger tower,yes,"Al Sharta Street, Dubai Marina, Dubai, United Arab Emirates",NA,NA,5 out of 5,NA,no,no,no,Bar,no,no,NA,NA,double bed,Double Room with Private Bathroom,"₹ 9,144"
Hampton by Hilton Dubai Al Seef,yes,"Al Seef Street, Umm Hurair 1, Dubai Creek, P.O. Box 35449, Bur Dubai, Dubai, United Arab Emirates","3,308 reviews",8.2,4 out of 5,Very good,yes,no,no,Bar,no,no,"Continental, Vegetarian, Halal, American, Buffet",single bed,double bed,King Room,"₹ 6,158"
The First Collection at Jumeirah Village Circle,yes,"JVC - Jumeirah Village - Dubai, Dubai, United Arab Emirates","9,657 reviews",8.6,4 out of 5,Fabulous,no,yes,yes,Bar,no,yes,NA,single bed,double bed,Classic Double Room,"₹ 9,555"
Swissôtel Al Murooj Dubai,yes,"Al Mustaqbal Street, Opposite The Dubai Mall, Downtown Dubai, Trade Centre, 117546 Dubai, United Arab Emirates","8,132 reviews",7.9,4 out of 5,Good,yes,yes,yes,Bar,no,yes,"Continental, Full English/Irish, Asian, American, Buffet",single bed,double bed,Classic King Room,"₹ 11,289"
