Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
KL Summer Suite @ Mercu Summer Suite KLCC,yes,"8 Jalan Cendana A22-13, Mercu Summer Suite, 50450 Kuala Lumpur, Malaysia",16 reviews,9.9,4 out of 5,Exceptional,yes,yes,no,Bar,no,yes,NA,single bed,double bed,One-Bedroom Apartment,"₹ 2,517"
Sky Suites KLCC by GENESIS,yes,"sky suites klcc, 50250 Kuala Lumpur, Malaysia",143 reviews,8.9,4 out of 5,Fabulous,yes,yes,no,NA,no,yes,NA,single bed,double bed,Three-Bedroom Apartment,"₹ 176,900"
Anggun Luxury Suite,yes,"Unit 18-16 JALAN DORAISAMY, OFF, JALAN SULTAN ISMAIL ANGGUN RESIDENCES, Chow Kit, 50300 Kuala Lumpur, Malaysia",53 reviews,9.4,4 out of 5,Superb,yes,yes,no,Bar,no,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 6,178"
Lily and Loft - Queensville @ Kuala Lumpur - Netflix,yes,"Jalan Sri Permaisuri Queensville, 56000 Kuala Lumpur, Malaysia",68 reviews,9.0,4 out of 5,Superb,no,yes,no,NA,no,no,NA,NA,double bed,Studio Apartment,"₹ 2,972"
Lucantia Serviced Suites Kuala Lumpur,yes,"Jalan Pudu Lucentia Residence @ BBCC, Suite T2-46-10, 55100 Kuala Lumpur, Malaysia",101 reviews,8.2,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,NA,NA,double bed,Standard Suite,"₹ 3,705"
"Central Residence Homestay2 @ Sungai Besi, Kuala Lumpur",yes,"Central Residence , 366, Jalan Sungai Besi, sungai besi, 57100 Kuala Lumpur, Malaysia",494 reviews,9.1,4 out of 5,Superb,yes,yes,no,NA,yes,yes,NA,NA,double bed,Two-Bedroom Apartment,"₹ 3,118"
Chambers Suites KL BY Fortune,yes,"2a Jalan Ipoh Kecil, Chow Kit, 50350 Kuala Lumpur, Malaysia",33 reviews,9.6,5 out of 5,Exceptional,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Queen Studio,"₹ 2,276"
Chambers Serviced Suites Kuala Lumpur,yes,"Jalan Ipoh Kecil Chambers KualaLumpur Suite 20-10, Chow Kit, 50350 Kuala Lumpur, Malaysia",244 reviews,7.2,3 out of 5,Good,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Superior Studio,"₹ 2,396"
Axon Bukit Bintang Residence By Perkasa,yes,"Jalan Gading, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",28 reviews,9.9,5 out of 5,Exceptional,yes,yes,no,NA,no,yes,NA,single bed,double bed,Deluxe Queen Room,"₹ 6,192"
BBS Apartment At Times Square,yes,"A-19-11, BERJAYA TIMES SQUARE APARTMENT 1,JALAN IMBI, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",23 reviews,8.5,4 out of 5,Very good,yes,yes,no,NA,no,yes,NA,single bed,double bed,One-Bedroom Apartment,"₹ 3,676"
Bukit Bintang Suite at Times Square KL,yes,"BerjayaBerjaya Times Square East Tower, Suite A26-14, Bukit Bintang, 55100 Kuala Lumpur, Malaysia","2,938 reviews",8.1,4 out of 5,Very good,yes,yes,no,Bar,no,yes,NA,single bed,double bed,Studio Suite,"₹ 2,850"
The Platinum Kuala Lumpur by Cozy White,yes,"1020 Jalan Sultan Ismail D-15-07, 50250 Kuala Lumpur, Malaysia",352 reviews,8.7,4 out of 5,Fabulous,yes,yes,no,Bar,no,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 4,761"
Starlight Suite at Mercu Summer Suite KLCC,yes,"No.8, Jalan Cendana, Mercu Summer Suite, 50250 Kuala Lumpur, Malaysia",19 reviews,9.0,4 out of 5,Superb,yes,yes,no,Bar,no,yes,"Continental, Vegetarian, Halal, Asian, American",single bed,double bed,Studio with Balcony,"₹ 3,138"
Excellent Serviced Suite Kl,yes,"No. 1 Jalan Imbi A-19-12, Berjaya Times Square,, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",129 reviews,7.3,3 out of 5,Good,yes,yes,no,Bar,no,no,NA,single bed,double bed,Deluxe King Studio,"₹ 5,193"
Axon Residence Bukit Bintang by Luna,yes,"Jalan Walter Granier, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",21 reviews,9.0,5 out of 5,Superb,yes,yes,no,NA,no,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 5,294"
