Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Earls Court East Serviced Apartments,yes,"Kensington and Chelsea, London, SW5 9SX, United Kingdom",883 reviews,8.1,4 out of 5,Very good,no,no,no,NA,yes,no,NA,single bed,double bed,Lower Ground Floor Large Studio,"₹ 13,022"
The Ned,yes,"Poultry 27, City of London, London, EC2R 8AJ, United Kingdom",828 reviews,8.7,5 out of 5,Fabulous,yes,yes,yes,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free, American",NA,double bed,Double Room - Cosy,"₹ 48,113"
Premier London Apartments Near Camden markets & very close to tube stations by Sojo Stay,yes,"1 Hungerford Road, Islington, London, N7 9LA, United Kingdom",28 reviews,9.1,4 out of 5,Superb,no,yes,no,NA,yes,yes,NA,NA,double bed,Two-Bedroom Apartment,"₹ 27,725"
City Apartments Kings Cross,yes,"SWINTON STREET, Camden, London, WC1X 9NL, United Kingdom",735 reviews,7.6,3 out of 5,Good,no,yes,no,NA,yes,no,NA,NA,double bed,Holiday Home,"₹ 14,647"
Central London Luxury Studios Fulham Close to Underground Newly Refurbished,yes,"2940 Dawes Road, Hammersmith and Fulham, London, SW6 7EN, United Kingdom",135 reviews,8.8,4 out of 5,Fabulous,yes,yes,no,NA,yes,no,NA,single bed,double bed,Studio Apartment,"₹ 4,978"
Hawkwood Apartments,yes,"6 Hawkwood Mount, Hackney, London, E5 9EQ, United Kingdom",206 reviews,8.2,4 out of 5,Very good,no,yes,no,NA,yes,no,NA,NA,double bed,One-Bedroom Suite,"₹ 15,563"
Admiral Hardy,yes,"7 College Approach Greenwich, Greenwich, London, SE10 9HY, United Kingdom",655 reviews,8.7,4 out of 5,Fabulous,yes,yes,no,Bar,yes,no,NA,NA,double bed,King Room,"₹ 16,682"
London Studios Very Close to Central Line Underground Shepherds Bush and Westfield Newly Refurbished,yes,"6911 Lime Grove, Hammersmith and Fulham, London, W12 8EA, United Kingdom",419 reviews,7.9,4 out of 5,Good,yes,yes,no,NA,yes,no,NA,single bed,double bed,Deluxe King Studio,"₹ 6,281"
"Maldron Hotel Finsbury Park, London",yes,"240 Seven Sisters Road Finsbury Park, Islington, London, N4 2HX, United Kingdom",238 reviews,8.5,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, Buffet",single bed,double bed,Deluxe Double Room,"₹ 16,082"
Drummond rooms,yes,"Drummond Street, Camden, London, NW1 2PH, United Kingdom",NA,NA,3 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,Double Room,"₹ 7,324"
Princes Square,yes,"23-25 Princes Square, Off Ilchester Gardens, Westminster Borough, London, W2 4NJ, United Kingdom",357 reviews,7.3,5 out of 5,Good,no,yes,no,NA,yes,no,NA,single bed,double bed,Standard Double Room,"₹ 21,361"
Great Rooms in Stepney Green Station - 12,yes,"12 Tollet Street, Tower Hamlets, London, E1 4EE, United Kingdom",68 reviews,7.3,3 out of 5,Good,no,yes,no,NA,yes,no,NA,single bed,double bed,Quadruple Room with Shared Bathroom,"₹ 9,088"
Plaistow Cosy Double Rooms - 8,yes,"8 Morley Road, Newham, London, E15 3HG, United Kingdom",60 reviews,7.4,3 out of 5,Good,no,yes,no,Bar,yes,no,NA,NA,double bed,Double Room with Shared Bathroom,"₹ 6,019"
Zedwell Underground Tottenham Court Rd,yes,"112 Great Russell Street, Camden, London, WC1B 3NQ, United Kingdom",983 reviews,6.4,3 out of 5,Pleasant,yes,yes,no,NA,no,no,NA,single bed,double bed,Cocoon 2,"₹ 13,223"
"The May Fair, A Radisson Collection Hotel, Mayfair London",yes,"Stratton Street, Mayfair, Westminster Borough, London, W1J 8LT, United Kingdom","4,058 reviews",8.1,2 out of 5,Very good,yes,yes,no,Bar,yes,yes,Full English/Irish,single bed,double bed,Collection Superior Room,"₹ 40,738"
ibis London Stratford,yes,"1A Romford Road, E15 4LJ, Newham, London, E15 4LJ, United Kingdom","2,664 reviews",7.8,4 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish",single bed,double bed,Double Sweet Room by Ibis,"₹ 11,392"
"Holiday Inn Express London Chingford, an IHG Hotel",yes,"Walthamstow Avenue, Walthamstow, London, E4 8ST, United Kingdom","2,673 reviews",7.1,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free",single bed,double bed,Double Room,"₹ 6,102"
