Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Residence Inn by Marriott Manchester Piccadilly,yes,"40 Laystall Street, Manchester, M1 2JZ, United Kingdom",343 reviews,8.5,4 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,NA,double bed,Double Room,"₹ 19,326"
Hyatt House Manchester,yes,"55 Booth Street West, Manchester, M15 6PQ, United Kingdom",954 reviews,9.0,4 out of 5,Superb,yes,yes,yes,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Gluten-free",NA,double bed,Queen Studio with Kitchenette,"₹ 23,777"
ibis Budget Manchester Centre Pollard Street,yes,"2 Pollard Street, Manchester, M4 7DB, United Kingdom","7,294 reviews",7.1,2 out of 5,Good,yes,yes,no,NA,yes,yes,"Continental, Vegetarian",single bed,double bed,Standard Triple Room,"₹ 10,221"
"Holiday Inn Express Manchester East, an IHG Hotel",yes,"Debdale Park, Hyde Road, Manchester, M18 7LJ, United Kingdom","3,145 reviews",8.1,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Double Room with Sofa Bed,"₹ 8,136"
Britannia Hotel City Centre Manchester,no,"35 Portland Street, Manchester, M1 3LA, United Kingdom","20,987 reviews",5.7,3 out of 5,Passable,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish",single bed,double bed,Double Room (No Windows),"₹ 9,561"
Whitworth Locke,yes,"74, Manchester, M1 6JD, United Kingdom","3,506 reviews",9.0,4 out of 5,Superb,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Underground Studio,"₹ 26,955"
Sachas Hotel Manchester,no,"Tib Street, Piccadilly, Manchester, M4 1SH, United Kingdom","12,342 reviews",5.7,3 out of 5,Passable,yes,yes,no,Bar,yes,yes,Full English/Irish,single bed,double bed,Double Room (No Windows),"₹ 8,951"
Hilton Garden Inn Manchester Emirates Old Trafford,yes,"Talbot Road   , Manchester,  M16 0PX, United Kingdom","3,727 reviews",8.8,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Gluten-free",single bed,double bed,King Room,"₹ 9,933"
ibis budget Manchester Salford Quays,yes,"19 Trafford Road, Salford, Manchester, M5 3AW, United Kingdom","8,272 reviews",7.1,2 out of 5,Good,yes,yes,no,NA,yes,yes,"Continental, Gluten-free",single bed,double bed,Classic Double Room,"₹ 5,521"
"Kimpton Clocktower, an IHG Hotel",yes,"Oxford Street, Manchester, M60 7HA, United Kingdom","4,862 reviews",8.9,5 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free",single bed,double bed,Standard Room,"₹ 27,972"
Milton Manchester Hotel,yes,"Milton Manchester Hotel Sentinel House Block B Peel Street, Salford, Manchester, M30 0NA, United Kingdom","3,849 reviews",7.2,3 out of 5,Good,yes,yes,no,Bar,yes,yes,Full English/Irish,single bed,double bed,Standard Double Room,"₹ 4,069"
Delphi Wharf Luxury Apartments,yes,"7 Adelphi Street Adelphi Wharf 3, Salford, Manchester, M3 6DZ, United Kingdom","3,052 reviews",5.5,3 out of 5,Passable,yes,yes,no,NA,yes,yes,NA,NA,double bed,Standard Studio,"₹ 6,317"
