Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Quality Apartments Melbourne Central,yes,"318 Little Bourke Street, 3000 Melbourne, Australia","1,439 reviews",7.7,4 out of 5,Good,yes,yes,no,NA,yes,yes,"Continental, Breakfast to go",single bed,double bed,Studio Loft Apartment,"₹ 8,213"
Courtyard by Marriott Melbourne Flagstaff Gardens,yes,"50 Batman Street, West Melbourne, 3003 Melbourne, Australia",533 reviews,8.8,4 out of 5,Fabulous,yes,yes,yes,Bar,yes,yes,Continental,NA,double bed,Premium King Room,"₹ 12,323"
Dorsett Melbourne,yes,"615 Little Lonsdale Street, 3000 Melbourne, Australia","1,202 reviews",8.7,4.5 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free, American",NA,double bed,Dorsett King,"₹ 9,815"
Crest on Park,yes,"46 Park Street, 3182 Melbourne, Australia",998 reviews,7.2,4 out of 5,Good,yes,yes,no,Bar,yes,no,NA,NA,double bed,Superior King Room,"₹ 9,162"
Treasury on Collins,yes,"394 Collins Street, 3000 Melbourne, Australia",508 reviews,9.3,4.5 out of 5,Superb,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Heritage King Suite,"₹ 20,638"
Crest on Barkly Hotel,yes,"47 Barkly Street, 3182 Melbourne, Australia",885 reviews,6.7,4 out of 5,Pleasant,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Standard Queen Room,"₹ 7,608"
Parkville Motel,yes,"759 Park Street, 3056 Melbourne, Australia",632 reviews,6.9,3.5 out of 5,Pleasant,yes,yes,no,NA,yes,no,NA,single bed,double bed,Standard Queen Room,"₹ 6,429"
Amora Hotel Riverwalk,yes,"649 Bridge Road, Richmond, 3121 Melbourne, Australia","1,320 reviews",8.4,4.5 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Gluten-free, American, Buffet, Breakfast to go",single bed,double bed,Courtyard Queen Room with Balcony,"₹ 10,943"
Exclusive 2B2B Swanston Central Apartment with NETFLIX WIFI,yes,"160 Victoria Street, Carlton, 3053 Melbourne, Australia",13 reviews,7.4,3 out of 5,Good,no,no,no,NA,yes,yes,NA,NA,double bed,Two-Bedroom Apartment,"₹ 7,320"
ibis Melbourne Central,yes,"399 Little Lonsdale Street, 3000 Melbourne, Australia","3,735 reviews",8.2,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Full English/Irish, Gluten-free",single bed,double bed,Compact Double Room,"₹ 7,447"
Liberty One,no,"9 Neilson Place, Footscray, 3011 Melbourne, Australia",414 reviews,8.1,3 out of 5,Very good,yes,yes,no,NA,no,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 11,741"
Rendezvous Hotel Melbourne,yes,"328 Flinders Street, 3000 Melbourne, Australia","5,185 reviews",8.3,4.5 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Gluten-free",single bed,double bed,Commerce Queen Room,"₹ 8,157"
Causeway 353 Hotel,yes,"353 Little Collins Street, 3000 Melbourne, Australia","6,733 reviews",8.0,4 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Deluxe King Room,"₹ 10,126"
Crown Promenade Melbourne,yes,"8 Whiteman Street, Southbank, 3006 Melbourne, Australia","7,345 reviews",8.7,4.5 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,Continental,NA,double bed,Standard King Room,"₹ 11,733"
ibis Styles Kingsgate Hotel,yes,"131 King Street, 3000 Melbourne, Australia","2,304 reviews",7.4,3 out of 5,Good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Standard Double Room,"₹ 6,215"
The Savoy Hotel on Little Collins Melbourne,yes,"630 Little Collins Street, 3000 Melbourne, Australia","2,781 reviews",8.6,4.5 out of 5,Fabulous,no,yes,yes,Bar,yes,yes,"Continental, Full English/Irish, Gluten-free",single bed,double bed,Savoy Queen Room,"₹ 12,407"
Hotel Grand Chancellor Melbourne,yes,"131 Lonsdale Street, 3000 Melbourne, Australia","7,324 reviews",7.6,4 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish, American",single bed,double bed,Classic Queen Room,"₹ 7,983"
Crown Metropol Melbourne,yes,"8 Whiteman Street, Southbank, 3006 Melbourne, Australia","7,387 reviews",8.4,5 out of 5,Very good,yes,yes,no,Bar,yes,yes,NA,NA,double bed,Luxe King Room,"₹ 12,805"
Clarion Suites Gateway,yes,"1 William Street, 3000 Melbourne, Australia","2,944 reviews",8.5,4 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio,"₹ 10,662"
Quincy Hotel Melbourne,yes,"509 Flinders Lane, 3000 Melbourne, Australia","4,222 reviews",8.6,4.5 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,Asian,single bed,double bed,King or Twin Room - Celestial,"₹ 8,326"
Best Western Melbourne City,yes,"16 Spencer Street, 3000 Melbourne, Australia","3,103 reviews",7.6,3 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Shoebox Double Room,"₹ 9,309"
Melbourne Central YHA,yes,"562 Flinders Street, 3000 Melbourne, Australia","1,993 reviews",7.8,4 out of 5,Good,no,yes,no,Bar,yes,yes,NA,NA,double bed,Double Room with Shared Bathroom,"₹ 6,268"
YTI Garden Hotel,yes,"378 Little Bourke St, 3000 Melbourne, Australia","2,061 reviews",7.0,3.5 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio Apartment,"₹ 6,911"
Sheraton Melbourne Hotel,yes,"27 Little Collins Street, 3000 Melbourne, Australia","1,151 reviews",8.2,5 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Full English/Irish, Vegetarian, Vegan",NA,double bed,Traditional King Room,"₹ 13,662"
Rydges Melbourne,yes,"186 Exhibition Street, 3000 Melbourne, Australia",616 reviews,9.1,4.5 out of 5,Superb,yes,yes,no,Bar,yes,yes,Full English/Irish,single bed,double bed,King Room,"₹ 11,412"
Novotel Melbourne South Wharf,yes,"7 Convention Centre Place, 3006 Melbourne, Australia","4,276 reviews",8.5,4 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free, American",NA,double bed,Standard Queen Room,"₹ 12,001"
Toorak Manor Hotel,yes,"220 Williams Road, South Yarra, 3142 Melbourne, Australia",716 reviews,8.4,4 out of 5,Very good,yes,yes,no,NA,yes,no,Continental,single bed,double bed,Standard Queen Room,"₹ 8,037"
CitiClub Hotel Melbourne,yes,"113 Queen Street, 3000 Melbourne, Australia","1,915 reviews",7.3,3.5 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Superior Queen Room,"₹ 7,286"
The Langham Melbourne,yes,"1 Southgate Avenue, Southbank, 3006 Melbourne, Australia","4,210 reviews",8.7,5 out of 5,Fabulous,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Asian, American",NA,double bed,Superior King,"₹ 13,662"
Atlantis Hotel Melbourne,yes,"300 Spencer Street, 3000 Melbourne, Australia","8,388 reviews",8.0,4 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Superior Queen Room - Disability Access,"₹ 6,973"
YTI Garden Hotel,yes,"378 Little Bourke St, 3000 Melbourne, Australia","2,061 reviews",7.0,3.5 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio Apartment,"₹ 6,911"
ibis Melbourne Hotel and Apartments,yes,"15 - 21 Therry Street, 3000 Melbourne, Australia","2,778 reviews",7.5,3 out of 5,Good,yes,yes,no,NA,yes,yes,"Full English/Irish, Vegetarian, Vegan, Gluten-free, Asian, American",single bed,double bed,Standard Queen Room,"₹ 7,019"
YEHS Hotel Melbourne CBD,yes,"600 Little Bourke Street, 3000 Melbourne, Australia","8,133 reviews",8.4,4 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Twin Room,"₹ 6,347"
Novotel Melbourne On Collins,yes,"270 Collins Street, 3000 Melbourne, Australia","2,199 reviews",7.8,4.5 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free, Asian, American",single bed,double bed,Standard Queen Room,"₹ 11,144"
The Victoria Hotel,yes,"215 Little Collins Street, 3000 Melbourne, Australia","9,947 reviews",8.1,3.5 out of 5,Very good,yes,yes,yes,Bar,yes,yes,Buffet,single bed,double bed,Heritage Twin Room,"₹ 6,965"
Art Series - The Cullen,yes,"164 Commarcial Road, Prahran, Prahran, 3181 Melbourne, Australia",989 reviews,8.5,5 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian",NA,double bed,Studio Suite,"₹ 10,126"
ibis Budget - Melbourne CBD,yes,"97-103 Elizabeth Street, 3000 Melbourne, Australia","2,962 reviews",6.6,3 out of 5,Pleasant,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Standard Queen Room,"₹ 6,161"
Pint On Punt Backpackers,yes,"42 Punt Road, 3181 Melbourne, Australia",623 reviews,6.9,3 out of 5,Pleasant,no,yes,no,Bar,yes,no,Continental,single bed,double bed,Double Room with Shared Bathroom,"₹ 5,344"
Nightcap at Skyways Hotel,yes,"113 Matthews Avenue, Airport West, 3042 Melbourne, Australia",753 reviews,7.5,3 out of 5,Good,no,yes,no,Bar,yes,no,NA,single bed,double bed,Queen Studio,"₹ 9,001"
Royal Hotel by Nightcap Social,no,"873 Mount Alexander Road, 3040 Melbourne, Australia",459 reviews,8.3,3.5 out of 5,Very good,no,yes,no,Bar,yes,no,NA,single bed,double bed,Standard Double Room with Shared Bathroom,"₹ 6,429"
Mercure Welcome Melbourne,yes,"265 Little Bourke Street, 3000 Melbourne, Australia","2,776 reviews",7.5,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Full English/Irish, American, Breakfast to go",single bed,double bed,Standard Queen Room,"₹ 7,608"
Batman's Hill on Collins,yes,"623 Collins Street, 3000 Melbourne, Australia","3,492 reviews",7.8,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Gluten-free, American",single bed,double bed,Standard Twin Room,"₹ 5,940"
