Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
1K Paris,yes,"13 Boulevard Du Temple, 3rd arr., 75003 Paris, France",854 reviews,7.6,4 out of 5,Good,yes,yes,yes,Bar,yes,yes,Continental,single bed,double bed,Superior M Double Room,"₹ 26,116"
Hôtel Vernet Champs Elysées Paris,yes,"25 Rue Vernet, 8th arr., 75008 Paris, France",178 reviews,8.7,5 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, Kosher, American",single bed,double bed,Superior Double Room,"₹ 68,610"
Port Royal Hotel,yes,"8 Boulevard de Port-Royal, 5th arr., 75005 Paris, France","3,251 reviews",7.4,3 out of 5,Good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room with Shared Bathroom and Shared WC,"₹ 10,775"
Hôtel Le Daum,yes,"15 Rue Gossec, 12th arr., 75012 Paris, France",609 reviews,8.4,3 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Comfort Double Room,"₹ 30,825"
Hotel Anya,yes,"5 passage Viallet , 11th arr., 75011 Paris, France",887 reviews,7.5,2 out of 5,Good,no,yes,no,NA,yes,no,NA,single bed,double bed,Double Room,"₹ 8,397"
Porte de Versailles Hotel,yes,"11, Boulevard Victor, 15th arr., 75015 Paris, France","1,024 reviews",7.9,2 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Double Room,"₹ 9,897"
Hotel CIS Paris Kellermann,yes,"17 boulevard Kellermann, 13th arr., 75013 Paris, France","5,213 reviews",7.3,2 out of 5,Good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Standard Double Room,"₹ 9,104"
Hôtel Liège Strasbourg,yes,"67 Boulevard De Strasbourg, 10th arr., 75010 Paris, France","2,469 reviews",7.2,3 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Double Room,"₹ 7,955"
Au Pacific Hotel,yes,"11 Rue Fondary, 15th arr., 75015 Paris, France","3,235 reviews",8.0,1 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Standard Twin Room,"₹ 12,374"
Hotel CIS Paris Maurice Ravel,yes,"6 avenue Maurice Ravel, 12th arr., 75012 Paris, France","2,770 reviews",7.2,3 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Twin Room,"₹ 8,379"
Hotel Eden Montmartre,yes,"90, Rue Ordener, 18th arr., 75018 Paris, France","1,432 reviews",7.9,3 out of 5,Good,no,yes,no,NA,yes,yes,"Continental, Vegetarian, Gluten-free, Buffet",single bed,double bed,Economic Double Room,"₹ 8,043"
Hotel Mimosa Paris,yes,"16 rue du Faubourg Saint-Martin, 10th arr., 75010 Paris, France","1,667 reviews",7.4,3 out of 5,Good,yes,yes,no,NA,yes,no,NA,single bed,double bed,Standard Double Room,"₹ 9,625"
Hôtel Albert 1er,yes,"162 Rue La Fayette, 10th arr., 75010 Paris, France",984 reviews,7.8,2 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Gluten-free",single bed,double bed,Twin Room,"₹ 15,379"
Hôtel Korner Etoile,yes,"133 avenue de Villiers, 17th arr., 75017 Paris, France","1,154 reviews",8.3,3 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 13,788"
Grand Hotel Francais,yes,"223 Boulevard Voltaire, 11th arr., 75011 Paris, France",619 reviews,8.5,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Standard Double Room,"₹ 21,832"
Charming room in Paris 14 eme,yes,"125 Avenue du Général Leclerc, 14th arr., 75014 Paris, France",NA,NA,3 out of 5,Good 7.7,no,no,no,NA,yes,no,NA,single bed,double bed,Triple Room,"₹ 11,375"
UCPA SPORT STATION HOSTEL PARIS,yes,"28 allee Rose Dieng Kuntz , 19th arr., 75019 Paris, France","4,192 reviews",8.0,2 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,single bed,NA,Double Room,"₹ 10,518"
Grand Hôtel du Bel Air,yes,"102 Boulevard de Picpus, 12th arr., 75012 Paris, France","1,455 reviews",7.4,2 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 7,473"
ibis Paris Vaugirard Porte de Versailles,yes,"5 Rue Eugene Gibez, 15th arr., 75015 Paris, France",863 reviews,8.0,2 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Gluten-free",NA,double bed,Standard Double Room,"₹ 13,837"
ibis Styles Paris Bercy,yes,"77 Rue De Bercy, 12th arr., 75012 Paris, France","7,818 reviews",7.4,3 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Standard Double Room,"₹ 13,806"
Hotel Inn Design Paris Place d’Italie (ex Timhotel),yes,"178 Boulevard Vincent Auriol, 13th arr., 75013 Paris, France","2,994 reviews",7.9,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, American",single bed,double bed,Double Room,"₹ 11,844"
Hotel Esmeralda,yes,"4 rue Saint-Julien Le Pauvre, 5th arr., 75005 Paris, France",802 reviews,7.7,3 out of 5,Good,yes,yes,no,NA,yes,no,NA,single bed,double bed,Double Room,"₹ 14,319"
Hôtel Résidence De Bruxelles,yes,"88 Bd De La Chapelle, 18th arr., 75018 Paris, France","2,072 reviews",6.4,2 out of 5,Pleasant,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Quadruple Room with Private Bathroom and Toilet,"₹ 11,048"
Hôtel du Cygne Paris,yes,"3-5 rue du Cygne, 1st arr., 75001 Paris, France","1,215 reviews",7.9,1 out of 5,Good,no,no,no,Bar,yes,no,Continental,single bed,double bed,Twin Room,"₹ 20,329"
Hôtel du Mont Blanc,yes,"28 Rue de la Huchette , 5th arr., 75005 Paris, France","2,492 reviews",7.4,3 out of 5,Good,no,yes,no,Bar,yes,yes,Buffet,single bed,double bed,Triple Room,"₹ 21,319"
Hôtel Saint Marcel,yes,"43 Boulevard Saint-Marcel, 13th arr., 75013 Paris, France","1,857 reviews",8.4,3 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Standard Double Room,"₹ 14,407"
VLH Montparnasse Eiffel,yes,"24, rue Blomet, 15th arr., 75015 Paris, France",378 reviews,7.5,3 out of 5,Good,no,no,no,NA,yes,yes,Buffet,single bed,double bed,Economy Double Room,"₹ 11,932"
Kyriad Hotel XIII Italie Gobelins,yes,"5 rue Veronese, 13th arr., 75013 Paris, France","4,222 reviews",8.0,3 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 13,258"
Hotel des Bains,yes,"33 Rue Delambre, 14th arr., 75014 Paris, France","1,447 reviews",7.6,3 out of 5,Good,yes,no,no,NA,yes,yes,NA,NA,double bed,Double Room,"₹ 15,026"
HotelF1 Paris Saint Ouen Marché Aux Puces,yes,"29 rue du docteur Babinski, 18th arr., 75018 Paris, France","12,481 reviews",6.3,3 out of 5,Pleasant,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Side-Car Room,"₹ 6,715"
Hotel Bellevue Montmartre,yes,"19 Rue d'Orsel, 18th arr., 75018 Paris, France",783 reviews,7.1,4 out of 5,Good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 9,466"
Hôtel des Comédies,yes,"8 Rue d'Hauteville, 10th arr., 75010 Paris, France","1,231 reviews",8.1,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Double or Twin Room,"₹ 20,241"
Hôtel Léonard de Vinci II,yes,"31 rue Mademoiselle, 15th arr., 75015 Paris, France",730 reviews,7.0,3 out of 5,Good,no,yes,no,Bar,yes,no,Continental,single bed,double bed,Twin Room,"₹ 12,728"
Hôtel AMI - Orso Hotels,yes,"7 Rue Du Général Beuret, 15th arr., 75015 Paris, France",977 reviews,8.5,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Buffet",single bed,double bed,Standard Double Room - La bonne Amie,"₹ 13,523"
Montparnasse Cozy 2 Rooms in a Shared Apartment,yes,"Rue du Commandant René Mouchotte, 14th arr., 75014 Paris, France",NA,NA,4 out of 5,NA,yes,yes,no,NA,no,no,NA,NA,double bed,Deluxe Double Room,"₹ 13,258"
Hôtel L de Lutèce,yes,"65 Rue Saint Louis en l'Ile, 4th arr., 75004 Paris, France",575 reviews,8.4,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Gluten-free",single bed,double bed,Deluxe Double or Twin Room with City View,"₹ 23,776"
Résidence du Pré,yes,"Rue Pierre Semard 15, 9th arr., 75009 Paris, France","2,470 reviews",8.1,3 out of 5,Very good,no,yes,no,Bar,yes,yes,Continental,single bed,double bed,Double Room,"₹ 12,816"
Hotel Korner Montparnasse,yes,"54, Rue Falguière, 15th arr., 75015 Paris, France","1,296 reviews",7.9,4 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 16,352"
Hotel Park Lane Paris,yes,"4 Rue La Boetie, 8th arr., 75008 Paris, France","1,726 reviews",8.0,3 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Gluten-free, American",single bed,double bed,Classic Double Room,"₹ 15,910"
Hôtel Exquis by Elegancia,yes,"71 Rue de Charonne, 11th arr., 75011 Paris, France","1,342 reviews",8.5,4 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,NA,double bed,Double Room - Intemporelle,"₹ 9,850"
Hôtel Lodge In Paris 13,yes,"2 -16 rue Théroigne de Méricourt, 13th arr., 75013 Paris, France","2,023 reviews",6.7,3 out of 5,Pleasant,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 11,137"
Adagio Paris 19ème Cité de la Musique,yes,"28 Boulevard d'Indochine, 19th arr., 75019 Paris, France","1,466 reviews",7.5,3 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Small Studio (2 Adults),"₹ 9,188"
Hôtel Aiglon,yes,"232 Boulevard Raspail, 14th arr., 75014 Paris, France","1,367 reviews",8.7,2 out of 5,Fabulous,yes,yes,no,NA,yes,yes,"Continental, Buffet",single bed,double bed,Cosy Double Room,"₹ 15,379"
