Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Maze Backpackers - Sydney,yes,"417 Pitt Street, Sydney CBD, 2000 Sydney, Australia","2,012 reviews",7.0,3.5 out of 5,Good,no,yes,no,NA,no,no,NA,single bed,double bed,Double Room with Shared Bathroom,"₹ 6,940"
Cozy M Hotel,yes,"132 Bourke Street, Woolloomooloo, 2011 Sydney, Australia",350 reviews,8.3,4 out of 5,Very good,no,yes,no,NA,no,no,Continental,NA,double bed,Couple Room Street View - with Shared Bathroom,"₹ 9,269"
The Sarah by Urban Rest,yes,"255 Victoria Street, Darlinghurst, 2010 Sydney, Australia",61 reviews,8.0,3 out of 5,Very good,no,yes,no,Bar,no,no,NA,NA,double bed,The Double Petite,"₹ 12,103"
Southend Hotel,yes,"32 Curtin Crescent, Maroubra, 2035 Sydney, Australia",609 reviews,8.0,3.5 out of 5,Very good,yes,yes,no,Bar,yes,no,NA,single bed,double bed,Classic Triple Room,"₹ 10,180"
ibis Sydney Airport,yes,"205 O'Riordan Street, Mascot, Mascot, 2020 Sydney, Australia","4,131 reviews",7.0,5 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, American",single bed,double bed,Standard Twin Room,"₹ 19,770"
Sydney Harbour YHA,yes,"110 Cumberland Street, Sydney CBD, 2000 Sydney, Australia","3,782 reviews",8.6,4 out of 5,Fabulous,yes,yes,no,NA,yes,yes,"Continental, Vegetarian, Gluten-free",single bed,double bed,Queen Room with Ensuite,"₹ 19,502"
The Strand Hotel,yes,"99 William Street, Darlinghurst, 2010 Sydney, Australia",14 reviews,9.2,2.5 out of 5,Superb,no,yes,no,Bar,yes,no,Breakfast to go,single bed,double bed,Petite +,"₹ 18,216"
Moxy Sydney Airport,yes,"56 Baxter Road, Mascot, 2020 Sydney, Australia",66 reviews,8.8,4.5 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Vegetarian, Vegan, Gluten-free, Buffet",single bed,double bed,Moxy Queen Sleeper,"₹ 20,841"
Rockdale Apartment Rooms,yes,"13-19 Bryant Street Unit 31, 2216 Sydney, Australia",NA,NA,3 out of 5,NA,no,no,no,NA,no,yes,NA,single bed,NA,Twin Room with Balcony,"₹ 9,644"
The Jensen Potts Point,yes,"71 Macleay Street, Potts Point, 2011 Sydney, Australia",581 reviews,8.0,3 out of 5,Very good,yes,yes,no,NA,yes,no,NA,single bed,double bed,Premium Queen Room with Balcony + Shared Bathroom,"₹ 14,245"
