Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
KEIKYU EX INN Keikyu Kamata Station,no,"144-0052 Tokyo-to, 4-45-3 Kamata, Ota-ku, Japan",388 reviews,8.4,3 out of 5,Very good,no,yes,no,NA,yes,yes,Asian,single bed,double bed,Semi Double Room C with Shower - Non-Smoking,"₹ 7,450"
BOOK HOTEL 神保町,yes,"101-0051 Tokyo-to, 神田神保町２丁目５−１３ 東京都千代田区, Japan","1,009 reviews",8.4,4 out of 5,Very good,no,no,no,NA,yes,yes,NA,single bed,double bed,Twin Room,"₹ 9,211"
Port House Hatsudai,yes,"151-0071 Tokyo-to, Shibuya-ku, Honmachi 1-4-4, Japan",550 reviews,8.5,3 out of 5,Very good,no,no,no,NA,yes,yes,NA,single bed,double bed,Twin Room,"₹ 8,293"
The Royal Park Canvas Ginza Corridor,yes,"104-0061 Tokyo-to, Chuo-ku, Ginza 6-2-11, Japan",926 reviews,8.5,4 out of 5,Very good,no,yes,no,Bar,no,no,Italian,single bed,double bed,Standard Double - Prosecco,"₹ 27,803"
7 Rooms Hotel & Cafe,yes,"134-0083 Tokyo-to, 江戸川区中葛西3-9-11, Japan",298 reviews,9.6,2 out of 5,Exceptional,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Standard Family Room,"₹ 17,059"
Sakura Cross Hotel Ueno Iriya Annex,yes,"110-0013 Tokyo-to, Taito-ku Iriya 1-21-7, Japan",846 reviews,9.0,3 out of 5,Superb,no,yes,no,NA,yes,yes,NA,NA,double bed,Superior Triple Room Max5 Comfort3,"₹ 8,257"
Comfort Inn Tokyo Roppongi,yes,"106-0032 Tokyo-to, Minato-ku Roppongi 3-9-8 , Japan",492 reviews,8.0,3 out of 5,Very good,no,yes,no,NA,yes,yes,"Asian, American",single bed,double bed,Double Room - Non-Smoking,"₹ 8,430"
Hotel JAL City Haneda Tokyo,yes,"144-0042 Tokyo-to, Ota-ku, Asahi-cho, Haneda 4-11, Japan","4,133 reviews",8.2,4 out of 5,Very good,no,yes,no,NA,yes,yes,Buffet,single bed,double bed,【Prime Floor】Comfort Double Room,"₹ 9,044"
Comfort Hotel Tokyo Higashi Nihombashi,yes,"103-0002 Tokyo-to, Chuo-ku Nihombashi Bakurocho 1-10-11, Japan",563 reviews,8.1,3 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room - Non-Smoking,"₹ 6,923"
Henn na Hotel Tokyo Haneda,yes,"144-0033 Tokyo-to, Higashikojiya 2-11-18, Japan","3,248 reviews",8.0,3 out of 5,Very good,no,yes,no,NA,yes,yes,"Asian, American",single bed,double bed,Double Room with Small Double Bed - (LG Styler) - Non-Smoking,"₹ 7,537"
LOISIR HOTEL SHINAGAWA SEASIDE,yes,"140-0002 Tokyo-to, 4-12-8, higashishinagawa, Japan","4,265 reviews",8.3,4 out of 5,Very good,no,yes,no,NA,no,no,NA,single bed,double bed,Double Room - Non Smoking,"₹ 7,068"
ONE@Tokyo,yes,"131-0045 Tokyo-to, Sumidaku Oshiage 1-19-3, Japan","1,940 reviews",8.5,3 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Semi Double - Non-Smoking,"₹ 8,166"
Hearton Hotel Higashi-Shinagawa,no,"140-0002 Tokyo-to, Shinagawa-ku, Higashishinagawa  4-13-27, Japan","1,081 reviews",8.1,3 out of 5,Very good,no,yes,no,NA,yes,yes,"American, Buffet",single bed,double bed,Semi Double Room - Non-Smoking,"₹ 6,203"
Toyoko Inn Tokyo Nihombashi Zeimusho Mae,yes,"103-0006 Tokyo-to, Chuo-ku Nihombashi Tomizawa-cho 11-5, Japan",406 reviews,7.6,3 out of 5,Good,no,yes,no,NA,yes,yes,Buffet,single bed,double bed,King Room - Non-Smoking,"₹ 6,448"
Toyoko Inn Tokyo Haneda Airport No.2,yes,"144-0043 Tokyo-to, Ota-ku Haneda 1-1-7, Japan","1,210 reviews",8.0,3 out of 5,Very good,no,yes,no,NA,yes,yes,"Asian, American",single bed,double bed,Standard Twin Room - Non-Smoking,"₹ 7,621"
Comfort Hotel Tokyo Higashi Kanda,yes,"101-0031 Tokyo-to, Chiyoda-ku Higashi-Kanda 1-9-10, Japan","1,208 reviews",8.4,3 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Standard Double Room - Non-Smoking,"₹ 9,882"
Comfort Hotel Tokyo Kiyosumi Shirakawa,yes,"135-0021 Tokyo-to, Koto-ku Shirakawa 1-6-12, Japan","1,229 reviews",8.1,3 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room - Non-Smoking,"₹ 6,588"
ICI HOTEL Asakusabashi,yes,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-26-6, Japan","1,912 reviews",8.7,3 out of 5,Fabulous,no,no,no,NA,yes,yes,"Continental, Vegetarian, Vegan, Halal",single bed,double bed,Standard Double Room - Non-Smoking,"₹ 6,453"
Agora Place Tokyo Asakusa,yes,"111-0042 Tokyo-to, Taito-ku Kotobuki 2-2-9, Japan","2,924 reviews",7.7,3 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Semi Double Room - Non-Smoking,"₹ 4,899"
Hotel Keihan Asakusa,yes,"111-0032 Tokyo-to, Taito-ku, Asakusa 2-12-4, Japan","1,346 reviews",7.9,3 out of 5,Good,no,yes,no,NA,yes,yes,Breakfast to go,single bed,double bed,Double Room with Small Double Bed - Non-Smoking,"₹ 6,532"
Wise Owl Hostels River Tokyo,no,"131-0033 Tokyo-to, 1-23-3 Mukojima, Sumida-ku, Japan","1,189 reviews",8.5,3 out of 5,Very good,no,yes,no,Bar,yes,yes,NA,single bed,double bed,Standard Twin Room with Shared Bathroom,"₹ 5,583"
