Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Yonge and Finch Subway !S Spacious and Modern Private Bd with Shared Bathroom,yes,"208 Finch Avenue East, North York, M2N 4R9 Toronto, Canada",46 reviews,8.6,4 out of 5,Fabulous,no,yes,no,NA,no,no,NA,NA,double bed,Queen Room with Shared Bathroom,"₹ 4,101"
W Toronto,no,"90 Bloor Street East, M4W 1A7 Toronto, Canada",107 reviews,8.1,4 out of 5,Very good,no,yes,yes,Bar,yes,yes,"Continental, American",NA,double bed,"Wonderful, Guest room, 2 Queen, Courtyard view","₹ 31,379"
DoubleTree by Hilton Toronto Downtown,yes,"108 Chestnut Street, M5G 1R3 Toronto, Canada","5,043 reviews",7.6,3 out of 5,Good,yes,yes,yes,Bar,yes,yes,"American, Buffet",NA,double bed,King Room,"₹ 15,351"
"Holiday Inn Express Toronto-North York, an IHG Hotel",yes,"30 Norfinch Drive, North York, M3N 1X1 Toronto, Canada",131 reviews,7.8,2 out of 5,Good,no,yes,no,NA,yes,yes,Continental,NA,double bed,Standard Queen Room with Two Queen Beds,"₹ 11,097"
Kensington Place Property,yes,"38 Kensington Place, M5T 2K4 Toronto, Canada",NA,NA,4 out of 5,NA,yes,yes,no,NA,yes,yes,NA,NA,double bed,Standard Suite,"₹ 12,872"
One King West Hotel and Residence,yes,"1 King Street West, M5H 1A1 Toronto, Canada","10,943 reviews",8.4,4 out of 5,Very good,no,yes,yes,Bar,yes,yes,NA,NA,double bed,Historic Studio Suite - Interior View,"₹ 24,918"
Radisson Blu Downtown Toronto,yes,"249 Queen's Quay West, M5J 2N5 Toronto, Canada","2,256 reviews",8.2,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,NA,NA,double bed,Queen Room with Two Queen Beds,"₹ 28,627"
"Holiday Inn Express & Suites - Toronto Airport South, an IHG Hotel",yes,"25 International Blvd, Etobicoke, M9W6H3 Toronto, Canada",406 reviews,8.5,4 out of 5,Very good,no,yes,no,NA,no,yes,Continental,NA,double bed,Standard Room with Two Queen Beds,"₹ 12,706"
Canopy By Hilton Toronto Yorkville,yes,"387 Bloor Street East, ON M4W 1H7 Toronto, Canada",246 reviews,8.5,4 out of 5,Very good,no,yes,no,Bar,yes,yes,"Full English/Irish, Vegetarian, Vegan, Gluten-free, American",NA,double bed,King Room,"₹ 21,384"
Embassy Suites By Hilton Toronto Airport,yes,"262 Carlingview Drive, Etobicoke, ON M9W 5G1    Toronto, Canada","1,676 reviews",8.5,5 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, American",NA,double bed,Two-Room King Suite,"₹ 15,648"
The Novotel Toronto Centre,yes,"45 The Esplanade, M5E 1W2 Toronto, Canada",493 reviews,8.3,4 out of 5,Very good,no,yes,no,Bar,yes,yes,"Vegetarian, American, Buffet, Breakfast to go",NA,double bed,Superior King Room,"₹ 22,749"
Hilton Toronto,no,"145 Richmond Street West, M5H 2L2 Toronto, Canada",932 reviews,7.5,4 out of 5,Good,yes,yes,yes,Bar,yes,yes,"Continental, Vegetarian, Gluten-free, American",NA,double bed,Queen Room with Two Queen Beds,"₹ 20,646"
RoryHouse,yes,"9 Rory Road, M6L 3E9 Toronto, Canada",43 reviews,9.1,4 out of 5,Superb,no,yes,no,NA,yes,no,NA,NA,double bed,Standard Queen Room,"₹ 4,802"
Fairmont Royal York Hotel,no,"100 Front Street West, M5J 1E3 Toronto, Canada","3,032 reviews",8.4,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,American,NA,double bed,Standard King Room,"₹ 20,908"
The Palmerston,yes,"650 1/2 Queen Street West, M6J 1E4 Toronto, Canada","1,108 reviews",6.7,2 out of 5,Pleasant,no,no,no,NA,yes,no,NA,NA,double bed,Standard Studio,"₹ 8,637"
"Holiday Inn Toronto Downtown Centre, an IHG Hotel",yes,"30 Carlton Street, M5B 2E9 Toronto, Canada","8,104 reviews",7.5,2 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Halal, Gluten-free, American",NA,double bed,Executive Queen Room,"₹ 25,831"
spacious sunshine room,yes,"8 Redmount Road, North York, M3H 2A3 Toronto, Canada",3 reviews,9.7,3 out of 5,Exceptional,no,no,no,NA,yes,no,NA,NA,double bed,Superior Queen Room,"₹ 10,419"
Hampton Inn by Hilton Toronto Airport Corporate Centre,no,"5515 Eglinton Avenue West, M9C 5K5 Toronto, Canada","2,231 reviews",8.2,2 out of 5,Very good,no,yes,no,NA,yes,yes,"Continental, American",NA,double bed,King Room - Disability Access,"₹ 15,082"
The Parkdale Hostellerie,yes,"83 ELM GROVE AVENUE, M6K 2J2 Toronto, Canada",768 reviews,5.9,3 out of 5,Passable,no,yes,no,NA,yes,no,NA,single bed,double bed,One-Bedroom Apartment,"₹ 10,789"
Chelsea Hotel Toronto,yes,"33 Gerrard Street West, M5G 1Z4 Toronto, Canada","6,048 reviews",7.1,4 out of 5,Good,yes,yes,no,Bar,yes,yes,Buffet,NA,double bed,Standard Queen Room,"₹ 18,186"
STB-Double BED with Shared Washroom,yes,"Saintsbury Square, Scarborough, M1V 3K2 Toronto, Canada",NA,NA,3 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,Double Room with Shared Bathroom,"₹ 9,926"
"Holiday Inn Toronto International Airport, an IHG Hotel",yes,"970 Dixon Road, Etobicoke, M9W 1J9 Toronto, Canada","1,744 reviews",7.3,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Vegetarian, American",NA,double bed,Double Feature Room - Non-Smoking,"₹ 12,885"
Samesun Toronto,yes,"280 Augusta Avenue, M5T 2L9 Toronto, Canada","1,969 reviews",7.4,4 out of 5,Good,no,yes,no,NA,yes,no,Continental,NA,double bed,Queen Room with Balcony,"₹ 16,645"
Super 8 by Wyndham Toronto East ON,yes,"3280 Kingston Road, Scarborough, M1M 1P8 Toronto, Canada",569 reviews,5.7,3 out of 5,Passable,yes,yes,no,NA,yes,no,Continental,NA,double bed,Queen Room - Smoking,"₹ 10,535"
Canadas Best Value Inn Toronto,yes,"650 Evans Avenue, Etobicoke, M8W 2W6 Toronto, Canada","1,683 reviews",7.7,1 out of 5,Good,no,yes,no,NA,yes,no,NA,NA,double bed,Queen Room - Non-Smoking,"₹ 8,396"
"Holiday Inn Express Toronto Downtown, an IHG Hotel",yes,"111 Lombard Street, M5C 2T9 Toronto, Canada","1,285 reviews",8.1,2 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,NA,double bed,King Room,"₹ 17,261"
Royal Oak Inn,yes,"376 Dundas Street East, M5A 2A5 Toronto, Canada",124 reviews,4.9,5 out of 5,Disappointing,no,yes,no,NA,yes,no,NA,single bed,double bed,Double Room,"₹ 12,268"
Woodbine Hotel & Suites,yes,"30 Vice Regent Boulevard, Etobicoke, M9W 7A4 Toronto, Canada","2,378 reviews",6.0,4 out of 5,Pleasant,no,yes,no,NA,yes,yes,Continental,NA,double bed,King Room,"₹ 9,746"
"Doubletree by Hilton Toronto Airport, ON",yes,"925 Dixon Road, Etobicoke, M9W 1J8 Toronto, Canada","2,778 reviews",8.2,3 out of 5,Very good,no,yes,yes,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free, American",NA,double bed,Queen Room with Two Queen Beds,"₹ 14,430"
Days Inn by Wyndham Toronto East Lakeview,yes,"2151 Kingston Road, Scarborough, M1N 1T5 Toronto, Canada","1,252 reviews",5.7,2 out of 5,Passable,yes,yes,no,NA,yes,yes,NA,NA,double bed,Queen Room with Two Queen Beds - Non-Smoking,"₹ 9,549"
CN TOWER VIEWS 2BDRM Condo with Parking & office space,yes,"21 Iceboat Terrace, M5V 4A9 Toronto, Canada",NA,NA,3 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,Apartment with Balcony,"₹ 27,126"
Elevate room,yes,"259 Wellesley st. east, M4X 1G8 Toronto, Canada",198 reviews,5.8,4 out of 5,Passable,no,yes,no,NA,yes,no,NA,NA,double bed,Double Room with Shared Bathroom,"₹ 7,953"
Hyatt Regency Toronto,yes,"370 King Street West, M5V 1J9 Toronto, Canada","1,365 reviews",8.0,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, American",NA,double bed,Double Room with Two Double Beds,"₹ 18,917"
"Holiday Inn Toronto Airport East, an IHG Hotel",yes,"600 Dixon Road, Etobicoke, M9W 1J1 Toronto, Canada",615 reviews,7.5,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Vegetarian, Gluten-free, American",NA,double bed,Room Selected at Check-In,"₹ 10,952"
Comfort Home Toronto,yes,"72 Vauxhall Drive, Scarborough, M1P 1R2 Toronto, Canada",141 reviews,7.6,4 out of 5,Good,no,yes,no,NA,yes,no,NA,NA,double bed,King Room,"₹ 7,907"
Pembroke Inn,yes,"117 Pembroke Street, M5A  2N9 Toronto, Canada","1,575 reviews",7.3,4 out of 5,Good,no,yes,no,NA,yes,no,NA,NA,double bed,Queen Room - Non-Smoking,"₹ 15,754"
The Alexandra Hotel,yes,"77 Ryerson Avenue, M5T 2V4 Toronto, Canada",441 reviews,6.6,3 out of 5,Pleasant,no,yes,no,NA,yes,yes,NA,single bed,double bed,Double and Single Bed Room,"₹ 10,419"
Bremner Apartments,yes,"55 Bremner Boulevard, M5J 0A6 Toronto, Canada",NA,NA,4 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,Apartment,"₹ 10,925"
Centrally located studio Suite,yes,"24 Anticosti Drive, M1J 1V5 Toronto, Canada",NA,NA,4 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 7,206"
