sno,Hotel_Name,city,location,number_of_reviews,user_ratings,Star_Rating,review_score
1,KEIKYU EX INN Keikyu Kamata Station,Tokyo,"144-0052 Tokyo-to, 4-45-3 Kamata, Ota-ku, Japan",388,8.4,3,Very good
2,BOOK HOTEL 神保町,Tokyo,"101-0051 Tokyo-to, 神田神保町２丁目５−１３ 東京都千代田区, Japan",1009,8.4,4,Very good
3,Port House Hatsudai,Tokyo,"151-0071 Tokyo-to, Shibuya-ku, Honmachi 1-4-4, Japan",550,8.5,3,Very good
4,The Royal Park Canvas Ginza Corridor,Tokyo,"104-0061 Tokyo-to, Chuo-ku, Ginza 6-2-11, Japan",926,8.5,4,Very good
5,7 Rooms Hotel & Cafe,Tokyo,"134-0083 Tokyo-to, 江戸川区中葛西3-9-11, Japan",298,9.6,2,Exceptional
6,Sakura Cross Hotel Ueno Iriya Annex,Tokyo,"110-0013 Tokyo-to, Taito-ku Iriya 1-21-7, Japan",846,9.0,3,Superb
7,Comfort Inn Tokyo Roppongi,Tokyo,"106-0032 Tokyo-to, Minato-ku Roppongi 3-9-8 , Japan",492,8.0,3,Very good
8,Hotel JAL City Haneda Tokyo,Tokyo,"144-0042 Tokyo-to, Ota-ku, Asahi-cho, Haneda 4-11, Japan",4133,8.2,4,Very good
9,Comfort Hotel Tokyo Higashi Nihombashi,Tokyo,"103-0002 Tokyo-to, Chuo-ku Nihombashi Bakurocho 1-10-11, Japan",563,8.1,3,Very good
10,Henn na Hotel Tokyo Haneda,Tokyo,"144-0033 Tokyo-to, Higashikojiya 2-11-18, Japan",3248,8.0,3,Very good
11,LOISIR HOTEL SHINAGAWA SEASIDE,Tokyo,"140-0002 Tokyo-to, 4-12-8, higashishinagawa, Japan",4265,8.3,4,Very good
12,ONE@Tokyo,Tokyo,"131-0045 Tokyo-to, Sumidaku Oshiage 1-19-3, Japan",1940,8.5,3,Very good
13,Hearton Hotel Higashi-Shinagawa,Tokyo,"140-0002 Tokyo-to, Shinagawa-ku, Higashishinagawa  4-13-27, Japan",1081,8.1,3,Very good
14,Toyoko Inn Tokyo Nihombashi Zeimusho Mae,Tokyo,"103-0006 Tokyo-to, Chuo-ku Nihombashi Tomizawa-cho 11-5, Japan",406,7.6,3,Good
15,Toyoko Inn Tokyo Haneda Airport No.2,Tokyo,"144-0043 Tokyo-to, Ota-ku Haneda 1-1-7, Japan",1210,8.0,3,Very good
16,Comfort Hotel Tokyo Higashi Kanda,Tokyo,"101-0031 Tokyo-to, Chiyoda-ku Higashi-Kanda 1-9-10, Japan",1208,8.4,3,Very good
17,Comfort Hotel Tokyo Kiyosumi Shirakawa,Tokyo,"135-0021 Tokyo-to, Koto-ku Shirakawa 1-6-12, Japan",1229,8.1,3,Very good
