sno,Hotel_Name,wifi_box,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast Cuisine1,Breakfast Cuisine2,Breakfast Cuisine3
1,KEIKYU EX INN Keikyu Kamata Station,no,no,yes,no,no,yes,yes,Asian,no,no
2,BOOK HOTEL 神保町,yes,no,no,no,no,yes,yes,no,no,no
3,Port House Hatsudai,yes,no,no,no,no,yes,yes,no,no,no
4,The Royal Park Canvas Ginza Corridor,yes,no,yes,no,yes,no,no,Italian,no,no
5,7 Rooms Hotel & Cafe,yes,yes,yes,no,no,yes,yes,Continental,no,no
6,Sakura Cross Hotel Ueno Iriya Annex,yes,no,yes,no,no,yes,yes,no,no,no
7,Comfort Inn Tokyo Roppongi,yes,no,yes,no,no,yes,yes,Asian, American,no
8,Hotel JAL City Haneda Tokyo,yes,no,yes,no,no,yes,yes,Buffet,no,no
9,Comfort Hotel Tokyo Higashi Nihombashi,yes,no,yes,no,no,yes,yes,Continental,no,no
10,Henn na Hotel Tokyo Haneda,yes,no,yes,no,no,yes,yes,Asian, American,no
11,LOISIR HOTEL SHINAGAWA SEASIDE,yes,no,yes,no,no,no,no,no,no,no
12,ONE@Tokyo,yes,no,yes,no,no,yes,yes,no,no,no
13,Hearton Hotel Higashi-Shinagawa,no,no,yes,no,no,yes,yes,American, Buffet,no
14,Toyoko Inn Tokyo Nihombashi Zeimusho Mae,yes,no,yes,no,no,yes,yes,Buffet,no,no
15,Toyoko Inn Tokyo Haneda Airport No.2,yes,no,yes,no,no,yes,yes,Asian, American,no
16,Comfort Hotel Tokyo Higashi Kanda,yes,yes,yes,no,no,yes,yes,Continental,no,no
17,Comfort Hotel Tokyo Kiyosumi Shirakawa,yes,no,yes,no,no,yes,yes,Continental,no,no
18,ICI HOTEL Asakusabashi,yes,no,no,no,no,yes,yes,Continental, Vegetarian, Vegan
19,Agora Place Tokyo Asakusa,yes,yes,yes,no,no,yes,yes,no,no,no
20,Hotel Keihan Asakusa,yes,no,yes,no,no,yes,yes,Breakfast to go,no,no
21,Wise Owl Hostels River Tokyo,no,no,yes,no,yes,yes,yes,no,no,no
22,Hotel JAL City Tokyo Toyosu,yes,no,yes,no,no,yes,yes,Buffet,no,no
23,APA Hotel Yamanote Otsuka Eki Tower,yes,no,yes,no,no,yes,yes,Asian, American,no
24,Hotel Wing International Ikebukuro,no,no,yes,no,no,yes,yes,no,no,no
