sno,Hotel_Name,Room_type,Single_Bed,Double_bed,price
1,KEIKYU EX INN Keikyu Kamata Station,Semi Double Room C with Shower - Non-Smoking,single bed,double bed,7450
2,BOOK HOTEL 神保町,Twin Room,single bed,double bed,9211
3,Port House Hatsudai,Twin Room,single bed,double bed,8293
4,The Royal Park Canvas Ginza Corridor,Standard Double - Prosecco,single bed,double bed,27803
5,7 Rooms Hotel & Cafe,Standard Family Room,single bed,double bed,17059
6,Sakura Cross Hotel Ueno Iriya Annex,Superior Triple Room Max5 Comfort3,,double bed,8257
7,Comfort Inn Tokyo Roppongi,Double Room - Non-Smoking,single bed,double bed,8430
8,Hotel JAL City Haneda Tokyo,【Prime Floor】Comfort Double Room,single bed,double bed,9044
9,Comfort Hotel Tokyo Higashi Nihombashi,Double Room - Non-Smoking,single bed,double bed,6923
10,Henn na Hotel Tokyo Haneda,Double Room with Small Double Bed - (LG Styler) - Non-Smoking,single bed,double bed,7537
11,LOISIR HOTEL SHINAGAWA SEASIDE,Double Room - Non Smoking,single bed,double bed,7068
12,ONE@Tokyo,Standard Semi Double - Non-Smoking,single bed,double bed,8166
13,Hearton Hotel Higashi-Shinagawa,Semi Double Room - Non-Smoking,single bed,double bed,6203
14,Toyoko Inn Tokyo Nihombashi Zeimusho Mae,King Room - Non-Smoking,single bed,double bed,6448
15,Toyoko Inn Tokyo Haneda Airport No.2,Standard Twin Room - Non-Smoking,single bed,double bed,7621
16,Comfort Hotel Tokyo Higashi Kanda,Standard Double Room - Non-Smoking,single bed,double bed,9882
17,Comfort Hotel Tokyo Kiyosumi Shirakawa,Double Room - Non-Smoking,single bed,double bed,6588
18,ICI HOTEL Asakusabashi,Standard Double Room - Non-Smoking,single bed,double bed,6453
19,Agora Place Tokyo Asakusa,Standard Semi Double Room - Non-Smoking,single bed,double bed,4899
20,Hotel Keihan Asakusa,Double Room with Small Double Bed - Non-Smoking,single bed,double bed,6532
21,Wise Owl Hostels River Tokyo,Standard Twin Room with Shared Bathroom,single bed,double bed,5583
22,Hotel JAL City Tokyo Toyosu,Moderate Twin Room - Non-Smoking,single bed,double bed,13047
23,APA Hotel Yamanote Otsuka Eki Tower,Standard Double Room - Non-Smoking,single bed,double bed,5678
24,Hotel Wing International Ikebukuro,Standard Double Room - Smoking,single bed,double bed,6699
25,APA Hotel Asakusabashi Ekimae,Standard Double Room for 2 people - Smoking,single bed,double bed,5125
26,Comfort Hotel Tokyo Kiyosumi Shirakawa,Double Room - Non-Smoking,single bed,double bed,6588
27,ICI HOTEL Asakusabashi,Standard Double Room - Non-Smoking,single bed,double bed,6453
28,Agora Place Tokyo Asakusa,Standard Semi Double Room - Non-Smoking,single bed,double bed,4899
29,Hotel Keihan Asakusa,Double Room with Small Double Bed - Non-Smoking,single bed,double bed,6532
30,Wise Owl Hostels River Tokyo,Standard Twin Room with Shared Bathroom,single bed,double bed,5583
31,Hotel JAL City Tokyo Toyosu,Moderate Twin Room - Non-Smoking,single bed,double bed,13047
32,APA Hotel Yamanote Otsuka Eki Tower,Standard Double Room - Non-Smoking,single bed,double bed,5678
33,Hotel Wing International Ikebukuro,Standard Double Room - Smoking,single bed,double bed,6699
34,APA Hotel Asakusabashi Ekimae,Standard Double Room for 2 people - Smoking,single bed,double bed,5125
35,Best Western Hotel Fino Tokyo Akasaka,Standard Double Room,single bed,double bed,10719
36,HOTEL BAMBOO GARDEN Kinshicho Adult Only,Superior Double Room,single bed,double bed,12841
37,HOTEL APERTO (Adult Only),Check-in after 9pm - Standard Double Room,,double bed,7258
38,ICI HOTEL Ueno Shin Okachimachi,Standard Double Room - Non-Smoking,single bed,double bed,10192
39,Chisun Inn Kamata,Standard Double Room - Non-Smoking,single bed,double bed,4243
40,FL Hotel Asakusa,Double Room,single bed,double bed,7462
41,APA Hotel & Resort Ryogoku Eki Tower,Double Room-Non-Smoking,single bed,double bed,6331
42,The Prince Park Tower Tokyo,Standard Twin Room - Non-Smoking,single bed,double bed,33184
43,Villa Fontaine Grand Haneda Airport,Superior Queen Room - Non-Smoking,single bed,double bed,13978
44,Hotel JAL City Haneda Tokyo West Wing,Economy Double Room,single bed,double bed,11456
45,Shinjuku Granbell Hotel,Economy Double Room - Non-Smoking,single bed,double bed,14622
46,APA Hotel Shinjuku-Kabukicho Tower,Double Room - Non-Smoking,single bed,double bed,10607
47,Hotel Tokyo Trip Ueno Nishi Nippori,Standard Semi-Double Room Non-Smoking,single bed,double bed,8374
48,Toyoko Inn Tokyo Monzen-nakacho Eitaibashi,Economy Double Room - Smoking,single bed,double bed,5745
49,The Royal Park Hotel Iconic Tokyo Shiodome,Economy Double Room,single bed,double bed,22890
50,Sotetsu Fresa Inn Tokyo Roppongi,Double Room - Non-Smoking,single bed,double bed,10440
51,hotel MONday Asakusa,Standard Twin Room,single bed,double bed,8422
52,Tokyo Guest House Ouji Music Lounge,Double Room with Shared Bathroom,single bed,double bed,4522
53,Toyoko Inn Omori,Economy Double Room - Non-Smoking,single bed,double bed,6155
54,Dormy Inn EXPRESS Asakusa,Residential Economy Double Room on Station Side - Non- Smoking,single bed,double bed,8945
55,Tmark City Hotel Tokyo Omori,Double Room - Non-Smoking,single bed,double bed,6876
56,Toyoko Inn Tokyo Akabane-eki Higashi-guchi,Economy Double Room - Non-Smoking,single bed,double bed,5686
57,Chang Tee Hotel Ikebukuro,Japanese-Style Twin Room - Non-Smoking,single bed,double bed,4745
58,plat hostel keikyu haneda home,Standard Twin Room with Shared Bathroom,,double bed,6007
59,Hotel Monterey Akasaka,Double Room - Non-Smoking,single bed,double bed,11333
60,APA Hotel TKP Nippori Ekimae,Double Room with Small Double Bed - Non-Smoking,single bed,double bed,6789
61,Tokyo Bay Shiomi Prince Hotel,Superior Twin Room,single bed,double bed,17158
62,Red Roof Inn Kamata / Haneda Tokyo,Double Room with Bathroom,single bed,double bed,4555
63,E Hotel Higashi Shinjuku,Double Room - Non-Smoking,single bed,double bed,8765
64,Akabane Holic Hotel,Double Room,single bed,double bed,7738
65,Grand Prince Hotel Takanawa,Superior Double Room - Non-Smoking,single bed,double bed,12108
66,KOKO HOTEL Ginza-1chome,Semi Double Room - Non-Smoking,single bed,double bed,12823
67,Shinagawa Tobu Hotel,Double Room with Small Double Bed - Non-Smoking,single bed,double bed,7978
68,Hotel Sting,Standard King Room,,double bed,4578
69,Quintessa Hotel Tokyo Ginza,Standard Double Room,single bed,double bed,16414
70,KOKO HOTEL Premier Nihonbashi Hamacho,Moderate Double Room - Non-Smoking,single bed,double bed,13803
71,APA Hotel Asakusa Kuramae Ekimae,Standard Double Room,single bed,double bed,5778
72,Tokyo Prince Hotel,Superior Double Room - Non-Smoking,single bed,double bed,16685
73,【駅から徒歩1分】徒歩で新大久保駅2分・大久保駅1分圏内/新宿まで電車で5分,Double Room,single bed,,4598
74,APA Hotel Ueno Hirokoji,Standard Double Room,single bed,double bed,5628
75,APA Hotel Pride Kokkaigijidomae - National Diet Bldg.,Standard Double Room (2 Adults) - Non-Smoking,single bed,double bed,8598
76,APA Hotel Asakusa Kuramae Kita,Double Room - Electronic Cigarette,single bed,double bed,5778
77,L stay & grow Minami Sunamachi,Double Room,single bed,double bed,5695
78,hotel MONday Haneda Airport,Double or Twin Room,single bed,double bed,6976
79,Far East Village Hotel Tokyo Ariake,Run of House,single bed,double bed,6043
80,The Peninsula Tokyo,Premier King Room,single bed,double bed,123591
81,Hotel Graphy Nezu,Small Double Room with Shared Bathroom,single bed,double bed,8039
82,APA Hotel Ueno Inaricho Ekikita,Standard Room - Non-Smoking (2 Adults),single bed,double bed,6085
83,Shinjuku Washington Hotel,Economy Double Room - Non-Smoking,single bed,double bed,11451
84,Super Hotel Tokyo Otsuka,Double Room,,double bed,5728
85,APA Hotel Keikyu Kamata-Ekimae,Standard Double Room,single bed,double bed,7085
86,Super Hotel JR Ueno Iriyaguchi,Double Room with Loft Bed,single bed,double bed,6439
87,HOTEL MYSTAYS Hamamatsucho,Standard Double Room - Smoking,single bed,double bed,5803
88,Toyoko Inn Tokyo Akiba Asakusabashi-eki Higashi-guchi,Economy Double Room - Smoking,single bed,double bed,5862
89,HOTEL MYSTAYS Asakusabashi,Standard Double Room - Non-Smoking,single bed,double bed,8542
90,Ryogoku View Hotel,Double Decker Room - Non Smoking,single bed,,7503
91,APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower,Double Room with Small Double Bed - Non-Smoking,single bed,double bed,10607
92,Theater Zzz,Tent,,,3618
93,Henn na Hotel Tokyo Asakusabashi,Deluxe Twin Room,single bed,double bed,8933
94,APA Hotel Nihombashi Bakuroyokoyama Ekimae,Standard Double Room,single bed,double bed,7085
95,Tosei Hotel Cocone Tsukiji Ginza Premier,Moderate Double Room,single bed,double bed,13957
96,Hotel Cerezo,Economy Double Room - Smoking,single bed,double bed,3517
97,APA Hotel Akihabara Ekikita,Standard Double Room - Non-Smoking,single bed,double bed,7085
98,remm Akihabara,Economy Double Room - Non-Smoking,single bed,double bed,10607
99,The Kanzashi Tokyo Asakusa,Double Room,single bed,double bed,8129
100,APA Hotel TKP Tokyo Nishi-Kasai,Economy Double Room - Non-Smoking,single bed,double bed,5577
101,HOTEL MYSTAYS Kiyosumi Shirakawa,Standard Twin Room - Smoking - House Keeping is Optional with Additional Cost,single bed,double bed,6164
102,Shinagawa Prince Hotel N Tower,"Double Room with Lounge Access ＆ Complimentary Breakfast ""N's Morning""- Non-Smoking",single bed,double bed,15134
103,Vessel Inn Asakusa Tsukuba Express,Comfort Double Room - Non-Smoking,single bed,double bed,10979
104,Hilton Tokyo Odaiba,Twin Guest Room - Non-Smoking - 33sqm,single bed,double bed,23124
