,city,Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Single_Bed,Double_bed,Room_type,price,Breakfast Cuisine1,Breakfast Cuisine2,Breakfast Cuisine3
1,Tokyo,KEIKYU EX INN Keikyu Kamata Station,no,"144-0052 Tokyo-to, 4-45-3 Kamata, Ota-ku, Japan",388,8.4,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Semi Double Room C with Shower - Non-Smoking,7450,Asian,no,no
2,Tokyo,BOOK HOTEL 神保町,yes,"101-0051 Tokyo-to, 神田神保町２丁目５−１３ 東京都千代田区, Japan",1009,8.4,4,Very good,no,no,no,no,yes,yes,single bed,double bed,Twin Room,9211,no,no,no
3,Tokyo,Port House Hatsudai,yes,"151-0071 Tokyo-to, Shibuya-ku, Honmachi 1-4-4, Japan",550,8.5,3,Very good,no,no,no,no,yes,yes,single bed,double bed,Twin Room,8293,no,no,no
4,Tokyo,The Royal Park Canvas Ginza Corridor,yes,"104-0061 Tokyo-to, Chuo-ku, Ginza 6-2-11, Japan",926,8.5,4,Very good,no,yes,no,yes,no,no,single bed,double bed,Standard Double - Prosecco,27803,Italian,no,no
5,Tokyo,7 Rooms Hotel & Cafe,yes,"134-0083 Tokyo-to, 江戸川区中葛西3-9-11, Japan",298,9.6,2,Exceptional,yes,yes,no,no,yes,yes,single bed,double bed,Standard Family Room,17059,Continental,no,no
6,Tokyo,Sakura Cross Hotel Ueno Iriya Annex,yes,"110-0013 Tokyo-to, Taito-ku Iriya 1-21-7, Japan",846,9.0,3,Superb,no,yes,no,no,yes,yes,,double bed,Superior Triple Room Max5 Comfort3,8257,no,no,no
7,Tokyo,Comfort Inn Tokyo Roppongi,yes,"106-0032 Tokyo-to, Minato-ku Roppongi 3-9-8 , Japan",492,8.0,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double Room - Non-Smoking,8430,Asian, American,no
8,Tokyo,Hotel JAL City Haneda Tokyo,yes,"144-0042 Tokyo-to, Ota-ku, Asahi-cho, Haneda 4-11, Japan",4133,8.2,4,Very good,no,yes,no,no,yes,yes,single bed,double bed,【Prime Floor】Comfort Double Room,9044,Buffet,no,no
9,Tokyo,Comfort Hotel Tokyo Higashi Nihombashi,yes,"103-0002 Tokyo-to, Chuo-ku Nihombashi Bakurocho 1-10-11, Japan",563,8.1,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double Room - Non-Smoking,6923,Continental,no,no
10,Tokyo,Henn na Hotel Tokyo Haneda,yes,"144-0033 Tokyo-to, Higashikojiya 2-11-18, Japan",3248,8.0,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double Room with Small Double Bed - (LG Styler) - Non-Smoking,7537,Asian, American,no
11,Tokyo,LOISIR HOTEL SHINAGAWA SEASIDE,yes,"140-0002 Tokyo-to, 4-12-8, higashishinagawa, Japan",4265,8.3,4,Very good,no,yes,no,no,no,no,single bed,double bed,Double Room - Non Smoking,7068,no,no,no
12,Tokyo,ONE@Tokyo,yes,"131-0045 Tokyo-to, Sumidaku Oshiage 1-19-3, Japan",1940,8.5,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Semi Double - Non-Smoking,8166,no,no,no
13,Tokyo,Hearton Hotel Higashi-Shinagawa,no,"140-0002 Tokyo-to, Shinagawa-ku, Higashishinagawa  4-13-27, Japan",1081,8.1,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Semi Double Room - Non-Smoking,6203,American, Buffet,no
14,Tokyo,Toyoko Inn Tokyo Nihombashi Zeimusho Mae,yes,"103-0006 Tokyo-to, Chuo-ku Nihombashi Tomizawa-cho 11-5, Japan",406,7.6,3,Good,no,yes,no,no,yes,yes,single bed,double bed,King Room - Non-Smoking,6448,Buffet,no,no
15,Tokyo,Toyoko Inn Tokyo Haneda Airport No.2,yes,"144-0043 Tokyo-to, Ota-ku Haneda 1-1-7, Japan",1210,8.0,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Twin Room - Non-Smoking,7621,Asian, American,no
16,Tokyo,Comfort Hotel Tokyo Higashi Kanda,yes,"101-0031 Tokyo-to, Chiyoda-ku Higashi-Kanda 1-9-10, Japan",1208,8.4,3,Very good,yes,yes,no,no,yes,yes,single bed,double bed,Standard Double Room - Non-Smoking,9882,Continental,no,no
17,Tokyo,Comfort Hotel Tokyo Kiyosumi Shirakawa,yes,"135-0021 Tokyo-to, Koto-ku Shirakawa 1-6-12, Japan",1229,8.1,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double Room - Non-Smoking,6588,Continental,no,no
18,Tokyo,ICI HOTEL Asakusabashi,yes,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-26-6, Japan",1912,8.7,3,Fabulous,no,no,no,no,yes,yes,single bed,double bed,Standard Double Room - Non-Smoking,6453,Continental, Vegetarian, Vegan
19,Tokyo,Agora Place Tokyo Asakusa,yes,"111-0042 Tokyo-to, Taito-ku Kotobuki 2-2-9, Japan",2924,7.7,3,Good,yes,yes,no,no,yes,yes,single bed,double bed,Standard Semi Double Room - Non-Smoking,4899,no,no,no
20,Tokyo,Hotel Keihan Asakusa,yes,"111-0032 Tokyo-to, Taito-ku, Asakusa 2-12-4, Japan",1346,7.9,3,Good,no,yes,no,no,yes,yes,single bed,double bed,Double Room with Small Double Bed - Non-Smoking,6532,Breakfast to go,no,no
21,Tokyo,Wise Owl Hostels River Tokyo,no,"131-0033 Tokyo-to, 1-23-3 Mukojima, Sumida-ku, Japan",1189,8.5,3,Very good,no,yes,no,yes,yes,yes,single bed,double bed,Standard Twin Room with Shared Bathroom,5583,no,no,no
22,Tokyo,Hotel JAL City Tokyo Toyosu,yes,"135-0061 Tokyo-to, Koto-ku Toyosu 6-4-20, Japan",3304,8.7,4,Fabulous,no,yes,no,no,yes,yes,single bed,double bed,Moderate Twin Room - Non-Smoking,13047,Buffet,no,no
23,Tokyo,APA Hotel Yamanote Otsuka Eki Tower,yes,"170-0005 Tokyo-to, Toshima-ku Minami Otsuka 3-31-10, Japan",1124,8.3,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room - Non-Smoking,5678,Asian, American,no
24,Tokyo,Hotel Wing International Ikebukuro,no,"170-0013 Tokyo-to, Toshima-ku, Higashiikebukuro 3-10-7, Japan",1532,8.2,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room - Smoking,6699,no,no,no
25,Tokyo,APA Hotel Asakusabashi Ekimae,yes,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-27-9, Japan",435,8.3,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room for 2 people - Smoking,5125,American,no,no
26,Tokyo,Comfort Hotel Tokyo Kiyosumi Shirakawa,yes,"135-0021 Tokyo-to, Koto-ku Shirakawa 1-6-12, Japan",1229,8.1,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double Room - Non-Smoking,6588,Continental,no,no
27,Tokyo,ICI HOTEL Asakusabashi,yes,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-26-6, Japan",1912,8.7,3,Fabulous,no,no,no,no,yes,yes,single bed,double bed,Standard Double Room - Non-Smoking,6453,Continental, Vegetarian, Vegan
28,Tokyo,Agora Place Tokyo Asakusa,yes,"111-0042 Tokyo-to, Taito-ku Kotobuki 2-2-9, Japan",2924,7.7,3,Good,yes,yes,no,no,yes,yes,single bed,double bed,Standard Semi Double Room - Non-Smoking,4899,no,no,no
29,Tokyo,Hotel Keihan Asakusa,yes,"111-0032 Tokyo-to, Taito-ku, Asakusa 2-12-4, Japan",1346,7.9,3,Good,no,yes,no,no,yes,yes,single bed,double bed,Double Room with Small Double Bed - Non-Smoking,6532,Breakfast to go,no,no
30,Tokyo,Wise Owl Hostels River Tokyo,no,"131-0033 Tokyo-to, 1-23-3 Mukojima, Sumida-ku, Japan",1189,8.5,3,Very good,no,yes,no,yes,yes,yes,single bed,double bed,Standard Twin Room with Shared Bathroom,5583,no,no,no
